"asset_id","status","file","width","height","role","sha256","generation_records","processing","slice_or_cells","qa"
"ui/frame_panel_light","candidate","assets/ui/frame_panel_light.png","192","192","frame_panel_light","970ab7397b3d1817c67942d98f2608ede6b28847335f1e91ef6178ec5dd2f1c3","{""prompt"":""Use case: ui-mockup. Produce ONE reusable blank square UI panel asset ONLY, front-facing no perspective. Style reference attached is our own medieval England hand-painted game building palette, NOT subject. 80% functional flat UI,20% restrained manuscript edge. Warm off-white center perfectly flat uniform #E1D1AE, no grain or stains in reading area. Delicate ink-brown double-line rectangular border. Tiny sober hand-painted manuscript curls ONLY inside each corner occupying at most outer 1/6 width. All four middle edges straight uninterrupted stretchable. No bevel, glow, shadows, text, numbers, symbols, bars, icons, selection or focus highlight. Panel fills canvas edge-to-edge, no outside margin. Square intended downsample192x192 with32pxcornercaps. Entire background opaque panel fill. Exact clean geometry and unobtrusive thin boundary. No heavy fantasy ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/references/astra-ui-pilot-reference-files/03_세계_화풍_건물.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/frame_panel_light-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-77834841-4e12-4ba2-9b6c-13f8c2666949.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5,""method"":""standard""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/frame_panel_dark","candidate","assets/ui/frame_panel_dark.png","192","192","frame_panel_dark","bb9f2cd5cd5b5480ec2224813f4eaaa72efd27398677b0bb20680bbe950a8cbb","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 192x192 square dark panel, perfectly flat uniform oak #514334 center, no wood grain. Fine warm parchment thin line ONLY upper edge with tiny corner manuscript curls at upper corners. All other sides plain fine dark ink line. No ornament on bottom. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/frame_panel_dark-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-5550a681-71c3-4dd2-8d29-892840fdc58f.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5,""method"":""standard""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/frame_objective","candidate","assets/ui/frame_objective.png","256","256","frame_objective","830b4c7b781292cbf9d1d4d543fc404aa7c607118300cb9860ae35ca9a7745f9","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 256x256 square objective panel flat warm #E1D1AE center, thin manuscript border; ONLY ONE tiny ink-brown leaf curl at TOP LEFT. Other corners completely plain. No symbols in center. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/frame_objective-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-8c5d742a-d423-40a5-b6d7-e694edbb31be.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5,""method"":""standard""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/frame_advisor","candidate","assets/ui/frame_advisor.png","256","192","frame_advisor","5b15b255905372eb32e9b2c278876a1f35ac4e36e1593c5fa2ca6ed0c53aa09d","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 256x192 landscape advisor panel. FLAT warm offwhite rectangular blank body. Left side circular EMPTY portrait slot exactly96x96 proportion relative256x192 body, centered x56 y96 (on256x192coordinate). Ring thin inkbrown, EMPTY interior warm flat no portrait. Tiny brick red wax seal motif at lower right corner ONLY. Ring is fullyinsideleft112px. Straight thin border. No scrollcurl outside frame. No text. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/frame_advisor-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-01d434b0-1d08-4bfe-8115-76c1b3d16ffe.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5,""method"":""Nine-slice blank body plus fixed 96x96 source circle inserted at 16,48; at logical1x circle48x48. See frames-render.cjs.""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""Generic nine-slice alone distorts portrait: supplied fixed-circle compositor is required.""}"
"ui/button_primary_base","candidate","assets/ui/button_primary_base.png","128","72","button_primary_base","e5030bf7f074692b3136789580aede22261e1f39b420f53ee5e286cccc2920af","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 128x72 landscape button base. Perfectly flat uniform warm parchment center, fine oakbrown boundary with subtle manuscript ink littlecornernotches confinedouter8px. No icon, no lettering, no hover highlight, no shadows, no bevel. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/button_primary_base-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-4dde9b6f-b85c-4a22-a643-5685307382ca.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":12,""top"":12,""right"":12,""bottom"":12,""sourceScale"":2,""renderCapScale"":0.5,""method"":""standard""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/button_icon_square_base","candidate","assets/ui/button_icon_square_base.png","72","72","button_icon_square_base","daf2110a1aca29fed2c60ca4d8648a5d966e488605698985e292888b33e7de78","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 72x72 square icon button base. Perfectly flat parchment empty center, fine oakbrown handinkedboundary, minute cornernotch. No icons or text. NO selectionhighlight or shadow. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/button_icon_square_base-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-28abdab5-5c5e-459a-ac2a-104903d12793.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{""left"":12,""top"":12,""right"":12,""bottom"":12,""sourceScale"":2,""renderCapScale"":0.5,""method"":""standard""}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/texture_vellum_light","candidate","assets/ui/texture_vellum_light.png","256","256","texture_vellum_light","bfdfa2a32c3981564e7a49a01c6369e4f5830b5f2a21f57c2ef792b8d6c14b3d","{""prompt"":""Use case: ui-mockup. NEW single reusable UI raster asset. Attached input is approved palette and thin manuscript edge FAMILY reference. 256x256 square seamless tile light vellum. NO border, NOcorners, NO decorativeelements. Extremely subtle broad low frequency paper texture on #E1D1AE, tonal variation less than3levelsRGB, visuallyalmostflat. Even light. Seamless alloppositeedges. 80% functional clean reading area,20% historicaledge ONLY. Orthographic front-on perfectlyalignedrectangle fills entireimagewithoutoutside margin. NO text,numbers,bar interiors, selectionrectangles,highlights,watermarks,objects. Match subtlelineweightandmutedwarmcolors. Minimal sober medievalSouthernEngland1300-1450 manuscript aesthetic, not fantasy game ornament."",""inputImages"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/sources/frames/frame_panel_light-raw.png""],""tool"":""builtin image_gen"",""model"":null,""seed"":null,""raw"":""sources/frames/texture_vellum_light-raw.png"",""originalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-6ee9-7670-8311-768b3e7616aa/exec-5727072c-011f-41b9-888c-562e26d0aeac.png""}","""Generated original preserved; downsample to requested canvas; flat reading field normalized to palette. Generated corner art and edge retained. Vellum contrast compressed and opposing terminal pixel rows/columns matched.""","{}","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat"",""limitations"":""""}"
"ui/icon_resource_sheet","candidate","assets/ui/icon_resource_sheet.png","576","96","icon_resource_sheet","dfbb8cf01d06963d6b4526097989ca7fe94615f6e0b056a763e110ee8ce3e7ad","[{""prompt"":""Create transparent PNG artwork only for historical city-builder UI, 80% functional 20% medieval character. Use attached project's building art for PALETTE and brushwork only. Hand-painted clean pictogram icons, bold DARK INK BROWN outline, warm BONE/off-white and OAK brown fills, very low detail, no surrounding panels, no text labels, NO LETTERS, NO NUMBERS, no progress bars, no highlight or selection rectangles. No photographic texture. Maximum silhouette distinction when shrunk to 24px. All icons equally sized and centered within equal grid cells, generous empty spacing, no cell lines or background. exactly six icons in a 3-column 2-row regular grid, row-major: group of three people's bust silhouettes; single round rustic loaf with two broad scores; three stacked short oak logs; two angular pale grey rubble stones; stack of plain dull gold coins; blank parchment calendar with two binder loops and only a few square cutouts NO numbers NO lettering. Muted brick red is sole general accent. Green and blue ONLY for status symbols. Transparent background with genuine alpha, no checkerboard painted. Front-facing pictogram style, no complex illustration. Do not reproduce houses from reference. Output landscape canvas for grids or very wide landscape for single row."",""references"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/references/astra-ui-pilot-reference-files/03_세계_화풍_건물.png""],""tool"":""image_gen.imagegen"",""model"":null,""seed"":null,""raw"":""sources/icons/icon_resource_sheet.png"",""originalSource"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-b100-7bc2-a296-275f21e9528b/exec-0eda2bb9-f801-4ce1-b2de-39cfa53bd4f1.png""}]","{""method"":""Equal-grid extraction; alpha >128 content bounds plus3px, discard alpha below32 and remap32..255, proportional Lanczos3 resize into84%cell then center, remove disconnected alpha specks smaller than0.5%largest component; no new pictogram drawing."",""transforms"":[{""cell"":0,""sourceRect"":[54,144,458,348],""destination"":[7,17,81,62]},{""cell"":1,""sourceRect"":[512,162,445,317],""destination"":[103,19,81,58]},{""cell"":2,""sourceRect"":[1054,159,418,331],""destination"":[199,16,81,64]},{""cell"":3,""sourceRect"":[81,597,379,315],""destination"":[295,14,81,67]},{""cell"":4,""sourceRect"":[588,600,343,298],""destination"":[391,13,81,70]},{""cell"":5,""sourceRect"":[1109,569,308,335],""destination"":[491,7,74,81]}]}","{""cellSize"":96,""cellOrder"":[""인구"",""빵"",""목재"",""석재"",""돈"",""달력""]}","{""status"":""candidate"",""native24pxReview"":""Distinct primary silhouettes reviewed at actual24px. Living well, storage sack and craft sickle secondary detail limited; user recognition study not performed."",""gameInstalled"":false,""noLettersNumbersBars"":true,""colorReview"":""Blue info, green ok only; cursors green only valid-status check. General accents brick red/neutral ochre."",""hotspot"":null}"
"ui/icon_build_category_sheet","candidate","assets/ui/icon_build_category_sheet.png","768","128","icon_build_category_sheet","e9dd4522b8fca5943686ad2dedd022681cd719a93044d4a0f07d36aea7326f63","[{""initial"":{""prompt"":""Create transparent PNG artwork only for historical city-builder UI, 80% functional 20% medieval character. Use attached project's building art for PALETTE and brushwork only. Hand-painted clean pictogram icons, bold DARK INK BROWN outline, warm BONE/off-white and OAK brown fills, very low detail, no surrounding panels, no text labels, NO LETTERS, NO NUMBERS, no progress bars, no highlight or selection rectangles. No photographic texture. Maximum silhouette distinction when shrunk to 24px. All icons equally sized and centered within equal grid cells, generous empty spacing, no cell lines or background. exactly six icons in a 3-column 2-row regular grid, row-major: compact medieval timber house with a tiny well sidekick; broad curving dirt road; two wheat stalks and a sickle over tiny furrow base; large tied sack in front of simple storehouse silhouette; small full medieval chapel with belfry; three pointed wooden palisade posts. Muted brick red is sole general accent. Green and blue ONLY for status symbols. Transparent background with genuine alpha, no checkerboard painted. Front-facing pictogram style, no complex illustration. Do not reproduce houses from reference. Output landscape canvas for grids or very wide landscape for single row."",""references"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/references/astra-ui-pilot-reference-files/03_세계_화풍_건물.png""],""tool"":""image_gen.imagegen"",""model"":null,""seed"":null,""raw"":""sources/icons/icon_build_category_sheet-initial.png"",""originalSource"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-b100-7bc2-a296-275f21e9528b/exec-cb0a65ec-8f8f-42ea-a4f7-8f96db27e89f.png""},""revision"":{""prompt"":""Edit this exact six-icon sheet, preserve grid and all six subjects. Correct ONLY: remove the chimney from the top-left house roof, leaving continuous roof; replace every green grass/leaf tuft beside the road with muted warm ochre-brown dry tufts, NO green anywhere. Remove the little crates and barrel from storage icon bottom-left, keeping the large sack and simple warehouse. Keep the same brushwork, warm cream/oak/inkbrown plus dull brickred roofs. Transparent background, absolutely no text or numbers. No new subjects."",""references"":[""sources/icons/icon_build_category_sheet-initial.png""],""raw"":""sources/icons/icon_build_category_sheet.png"",""originalSource"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-b100-7bc2-a296-275f21e9528b/exec-72a66782-6398-4aa0-8146-dc3b060fba75.png"",""tool"":""image_gen.imagegen"",""model"":null,""seed"":null}}]","{""method"":""Equal-grid extraction; alpha >128 content bounds plus3px, discard alpha below32 and remap32..255, proportional Lanczos3 resize into84%cell then center, remove disconnected alpha specks smaller than0.5%largest component; no new pictogram drawing."",""transforms"":[{""cell"":0,""sourceRect"":[50,87,425,387],""destination"":[10,15,108,98]},{""cell"":1,""sourceRect"":[585,74,379,406],""destination"":[141,10,101,108]},{""cell"":2,""sourceRect"":[1080,78,405,390],""destination"":[266,12,108,104]},{""cell"":3,""sourceRect"":[33,574,441,375],""destination"":[394,18,108,92]},{""cell"":4,""sourceRect"":[587,522,362,432],""destination"":[530,10,91,108]},{""cell"":5,""sourceRect"":[1097,583,369,367],""destination"":[650,10,108,107]}]}","{""cellSize"":128,""cellOrder"":[""생활"",""길"",""생업"",""저장유통"",""공공신앙"",""방어""]}","{""status"":""candidate"",""native24pxReview"":""Distinct primary silhouettes reviewed at actual24px. Living well, storage sack and craft sickle secondary detail limited; user recognition study not performed."",""gameInstalled"":false,""noLettersNumbersBars"":true,""colorReview"":""Blue info, green ok only; cursors green only valid-status check. General accents brick red/neutral ochre."",""hotspot"":null}"
"ui/icon_layer_mode_sheet","candidate","assets/ui/icon_layer_mode_sheet.png","384","128","icon_layer_mode_sheet","09ba0ec22da06909eeeb79b9b6adf075af2e2fa8903ecf2a844ad8e8aa7cd459","[{""prompt"":""Create transparent PNG artwork only for historical city-builder UI, 80% functional 20% medieval character. Use attached project's building art for PALETTE and brushwork only. Hand-painted clean pictogram icons, bold DARK INK BROWN outline, warm BONE/off-white and OAK brown fills, very low detail, no surrounding panels, no text labels, NO LETTERS, NO NUMBERS, no progress bars, no highlight or selection rectangles. No photographic texture. Maximum silhouette distinction when shrunk to 24px. All icons equally sized and centered within equal grid cells, generous empty spacing, no cell lines or background. exactly three icons in one horizontal row: large human hand gripping a hammer; wide paintbrush over a brown small diamond patch of land; blank partly unrolled parchment with small brick-red wax seal. Muted brick red is sole general accent. Green and blue ONLY for status symbols. Transparent background with genuine alpha, no checkerboard painted. Front-facing pictogram style, no complex illustration. Do not reproduce houses from reference. Output landscape canvas for grids or very wide landscape for single row."",""references"":[""/Users/rexxa/github/feudal-lord-simulator/output/astra-ui-pilot-candidates-v1/references/astra-ui-pilot-reference-files/03_세계_화풍_건물.png""],""tool"":""image_gen.imagegen"",""model"":null,""seed"":null,""raw"":""sources/icons/icon_layer_mode_sheet.png"",""originalSource"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d876-b100-7bc2-a296-275f21e9528b/exec-5f9b04c0-49fa-4414-a6a8-526b0ef0bcf4.png""}]","{""method"":""Equal-grid extraction; alpha >128 content bounds plus3px, discard alpha below32 and remap32..255, proportional Lanczos3 resize into84%cell then center, remove disconnected alpha specks smaller than0.5%largest component; no new pictogram drawing."",""transforms"":[{""cell"":0,""sourceRect"":[222,100,452,520],""destination"":[17,10,94,108]},{""cell"":1,""sourceRect"":[840,93,490,517],""destination"":[141,10,102,108]},{""cell"":2,""sourceRect"":[1506,131,404,501],""destination"":[276,10,87,108]}]}","{""cellSize"":128,""cellOrder"":[""직접"",""구역"",""방향""]}","{""status"":""candidate"",""native24pxReview"":""Distinct primary silhouettes reviewed at actual24px. Living well, storage sack and craft sickle secondary detail limited; user recognition study not performed."",""gameInstalled"":false,""noLettersNumbersBars"":true,""colorReview"":""Blue info, green ok only; cursors green only valid-status check. General accents brick red/neutral ochre."",""hotspot"":null}"
