"asset_id","status","file","width","height","role","sha256","generation_records","processing","slice_or_cells","hotspot","qa"
"ui/frame_hud_strip_top","candidate","assets/ui/frame_hud_strip_top.png","256","256","dark oak HUD top frame, thin warm parchment single edge, minute dot at corners","1237177afc414b4a3780221fc6aa13260c37cbde57b4e932f1bf81e5a2baea9f","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. dark oak HUD top frame, thin warm parchment single edge, minute dot at corners. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:256, straight-on UI texture not perspective, no presentation board. Output intended 256x256. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_panel_dark.png""],""raw"":""sources/frames/frame_hud_strip_top-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-679d4dff-8818-44ba-9e80-906327e55dd7.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_hud_strip_bottom","candidate","assets/ui/frame_hud_strip_bottom.png","256","256","dark oak HUD bottom frame, subtly lighter upper edge single rule, minute corner dots","b2c5f68e33674b205cfbf1e8bf598427ae4fba3c94dee7585ccc7c45645d6ddf","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. dark oak HUD bottom frame, subtly lighter upper edge single rule, minute corner dots. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:256, straight-on UI texture not perspective, no presentation board. Output intended 256x256. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_panel_dark.png""],""raw"":""sources/frames/frame_hud_strip_bottom-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-0af01968-2301-48fd-9b49-6cc62cecdc6a.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_panel_light","candidate","assets/ui/frame_panel_light.png","192","192","warm light parchment information panel, remove all corner curls; one tiny dot per corner","4d621ebb07318848b0514524bca567490b0c37f6cc1ce9822af15db0d3e7ba17","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. warm light parchment information panel, remove all corner curls; one tiny dot per corner. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 192:192, straight-on UI texture not perspective, no presentation board. Output intended 192x192. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_panel_light.png""],""raw"":""sources/frames/frame_panel_light-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-661f5ea1-9e60-4a02-9b8b-5382ec8c9ad6.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_panel_dark","candidate","assets/ui/frame_panel_dark.png","192","192","flat dark oak information panel, remove all corner curls; one tiny warm dot per corner","a8615f9ca59b29942f66d4008cf6ab6d8bd91137561bd60281a8dbc5b9b859aa","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. flat dark oak information panel, remove all corner curls; one tiny warm dot per corner. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 192:192, straight-on UI texture not perspective, no presentation board. Output intended 192x192. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_panel_dark.png""],""raw"":""sources/frames/frame_panel_dark-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-e8333fee-d7f5-4e5a-a006-754a5ef16305.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_objective_normal","candidate","assets/ui/frame_objective_normal.png","256","256","normal objective warm parchment card, single ink border and tiny dot; no decorative curls","c2ab636762cd5f3680970f3904c2aeff6afe0a18627837611a71cd37a6e62466","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. normal objective warm parchment card, single ink border and tiny dot; no decorative curls. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:256, straight-on UI texture not perspective, no presentation board. Output intended 256x256. Edge details must be confined to 32px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_objective.png""],""raw"":""sources/frames/frame_objective_normal-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-27e07c12-2908-48f3-8ec2-f0f24bb6bcfe.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_objective_complete","candidate","assets/ui/frame_objective_complete.png","256","256","complete objective warm parchment card, single ink border, small subdued red wax seal without any text at bottom right contained entirely inside 32pixel corner of final256canvas","5838cdeb462c96aa2d7cc5901d9cdb85520a4f4516dc730de5b9d7ac96e795e1","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. complete objective warm parchment card, single ink border, small subdued red wax seal without any text at bottom right contained entirely inside 32pixel corner of final256canvas. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:256, straight-on UI texture not perspective, no presentation board. Output intended 256x256. Edge details must be confined to 32px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_objective.png""],""raw"":""sources/frames/frame_objective_complete-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-be51d70a-5ec7-4a4e-92a2-2d2b4ba876c4.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_objective_warn","candidate","assets/ui/frame_objective_warn.png","256","256","warning objective warm parchment card, single ink border and small dull brown-red ink smudge confined to upper right 32pixel corner final256canvas","688f0dd3882dfc6f4f27e3d7aeab1fd6e1ae9d62bace59b338fab949bb28b73b","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. warning objective warm parchment card, single ink border and small dull brown-red ink smudge confined to upper right 32pixel corner final256canvas. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:256, straight-on UI texture not perspective, no presentation board. Output intended 256x256. Edge details must be confined to 32px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_objective.png""],""raw"":""sources/frames/frame_objective_warn-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-c91f9d06-b9ff-472e-9546-9f5ae07b102b.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":32,""top"":32,""right"":32,""bottom"":32,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_advisor_normal","candidate","assets/ui/frame_advisor_normal.png","256","192","advisor panel rectangular warm parchment plain BODY ONLY, remove entire portrait circle and seal. Single thin border tiny dots. No portrait no circle","9cc6e08b9763fc70b83d45a92734b073641ef5bd03be7b19583b5b4e3c5c1258","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. advisor panel rectangular warm parchment plain BODY ONLY, remove entire portrait circle and seal. Single thin border tiny dots. No portrait no circle. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:192, straight-on UI texture not perspective, no presentation board. Output intended 256x192. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_advisor.png""],""raw"":""sources/frames/frame_advisor_normal-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-dec4898a-a85b-4c63-86aa-520040dd6902.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/frame_advisor_warn","candidate","assets/ui/frame_advisor_warn.png","256","192","advisor warning panel rectangular warm parchment BODY ONLY, remove circle and seal. Singlethin border with small dull ink stain upper right corner. No portrait no circle","49a3d577bc2f4cc0321b3c277a6f24a5235f1d745d72eb1acb9515ec6c7a18bb","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. advisor warning panel rectangular warm parchment BODY ONLY, remove circle and seal. Singlethin border with small dull ink stain upper right corner. No portrait no circle. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 256:192, straight-on UI texture not perspective, no presentation board. Output intended 256x192. Edge details must be confined to 24px native edge strip; center must be almost flat. Panel fills whole canvas edge to edge, no exterior background or shadow."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_advisor.png""],""raw"":""sources/frames/frame_advisor_warn-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-fa0596e1-fe60-40e7-a9cc-8daba0714a20.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{""left"":24,""top"":24,""right"":24,""bottom"":24,""sourceScale"":2,""renderCapScale"":0.5}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""flat opaque"",""limitations"":""""}"
"ui/advisor_portrait_frame","candidate","assets/ui/advisor_portrait_frame.png","192","192","ONLY a circular portrait frame: very thin two concentric muted brown ink circles, perfectly centered, outerdiameter180 innerdiameter172. Transparent inside AND outside ring. No panel no face no ornament no shadow","e8513c6d5c65c9b90832a4eadde4fb60e52b058689a0d84a43155836507de3a6","{""tool"":""image_gen.imagegen"",""prompt"":""Edit the attached approved medieval game UI pilot into one production candidate asset. ONLY a circular portrait frame: very thin two concentric muted brown ink circles, perfectly centered, outerdiameter180 innerdiameter172. Transparent inside AND outside ring. No panel no face no ornament no shadow. Direction: 80% functionality 20% historical ornament. Warm muted parchment/oak palette. Much more restrained corners than reference: single line and at most one dot, no filigree, no leaves. Central reading area uniform and clean. Keep thin hand-painted ink feeling, no photorealism. No letters, no numbers, no text, no bar fill, no focus ring. Deliver ONE isolated asset, full canvas aspect 192:192, straight-on UI texture not perspective, no presentation board. Output intended 192x192. Edge details must be confined to 8px native edge strip; center must be almost flat. Actual transparent RGBA background."",""references"":[""references/astra-ui-p0-reference-files/pilot_assets/frame_advisor.png""],""raw"":""sources/frames/advisor_portrait_frame-raw.png"",""rawOriginalPath"":""/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d891-c550-7570-b4ac-306c284a3494/exec-38e5b7a1-bb24-49f2-902e-40553ff13f77.png"",""modelVersion"":null,""seed"":null}","""Generated original preserved. Exact canvas registration and downsample. Opaque flat reading fields normalized to pilot palette; generated edge and corner ink retained. Texture contrast compressed and opposing terminal pixels matched; dark texture palette corrected. Toast source cropped to actual bordered rectangle. Objective variants share registered geometry.""","{}","null","{""text"":""none"",""numbers"":""none"",""barInterior"":""none"",""center"":""not applicable"",""limitations"":""Fixed circle overlay; do not nine-slice.""}"
