"logical_id","file","kind","part","role","mask","source","source_sha256","full_prompt","revision","registration_json","status","sha256","width","height","color_type","transparent_pixels","nonzero_alpha_pixels","notes"
"pt_face_c_01","layers/pt_face_c_01.png","face","base","layer","masks/pt_face_c_01_skinmask.png","provenance/raw/pt_face_c_01.png","2faeaf3b3fa52227890585db8976342fd65bf4c04df25ada0a2951e85cedb222","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_01. DISTINCT IDENTITY: boy aged 10, round soft child face, short button nose, straight fine eyebrows, large eyes; no facial hair. Skin: medium warm.","1","{""width"":256,""height"":254,""x"":0,""y"":3,""before_eye_y"":110.16551621955261,""before_neck_bottom"":211,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","7231a2704aa6631819b417f5cacf015d41d80129b7cab509b71c22c5c470d2a3","256","256","6","49932","15604",""
"pt_face_c_01","masks/pt_face_c_01_skinmask.png","face","mask","skinmask","","provenance/raw/pt_face_c_01.png","2faeaf3b3fa52227890585db8976342fd65bf4c04df25ada0a2951e85cedb222","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_01. DISTINCT IDENTITY: boy aged 10, round soft child face, short button nose, straight fine eyebrows, large eyes; no facial hair. Skin: medium warm.","1","{""width"":256,""height"":254,""x"":0,""y"":3,""before_eye_y"":110.16551621955261,""before_neck_bottom"":211,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","65b28dd89e686413c45229e088fb0de7d2aa66ce5ba91621511839e8a29a07bd","256","256","6","50000","15536","원본 그림에서 파생한 흰색 영역 마스크; 프롬프트는 그림 생성 원문"
"pt_face_c_02","layers/pt_face_c_02.png","face","base","layer","masks/pt_face_c_02_skinmask.png","provenance/raw/pt_face_c_02.png","4fb06497ee55a4af0d86a8a875e4e9d540453c36f521b6c27e95cba6c02d156b","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_02. DISTINCT IDENTITY: boy aged 16, lanky adolescent angular face, long narrow nose, thick straight brows; no facial hair. Skin: light warm.","1","{""width"":256,""height"":215,""x"":0,""y"":23,""before_eye_y"":105.69405132693278,""before_neck_bottom"":225,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","4d40348d776e9a68faa150fe1ea88791ad7bd2b56ed5df5f192a0fbfe9753b3b","256","256","6","49958","15578",""
"pt_face_c_02","masks/pt_face_c_02_skinmask.png","face","mask","skinmask","","provenance/raw/pt_face_c_02.png","4fb06497ee55a4af0d86a8a875e4e9d540453c36f521b6c27e95cba6c02d156b","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_02. DISTINCT IDENTITY: boy aged 16, lanky adolescent angular face, long narrow nose, thick straight brows; no facial hair. Skin: light warm.","1","{""width"":256,""height"":215,""x"":0,""y"":23,""before_eye_y"":105.69405132693278,""before_neck_bottom"":225,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","9d50f08f2e18477d72489981f7858c2aaf28f000639b7001128709e9f34ec8b2","256","256","6","50030","15506","원본 그림에서 파생한 흰색 영역 마스크; 프롬프트는 그림 생성 원문"
"pt_face_c_03","layers/pt_face_c_03.png","face","base","layer","masks/pt_face_c_03_skinmask.png","provenance/raw/pt_face_c_03.png","489859ca705b5909cef4de01265152495dfb0ccf02c9a106153af1c2056d0aa5","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_03. DISTINCT IDENTITY: girl aged 10, heart-shaped soft child face, broad tiny nose, thin round brows, large eyes. Skin: medium olive.","1","{""width"":256,""height"":237,""x"":0,""y"":9,""before_eye_y"":110.77142252670751,""before_neck_bottom"":219,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","4de11b438d7db5a0c94e74b11e5a75233117a49019860b273af3e44d89c33aa7","256","256","6","48634","16902",""
"pt_face_c_03","masks/pt_face_c_03_skinmask.png","face","mask","skinmask","","provenance/raw/pt_face_c_03.png","489859ca705b5909cef4de01265152495dfb0ccf02c9a106153af1c2056d0aa5","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_03. DISTINCT IDENTITY: girl aged 10, heart-shaped soft child face, broad tiny nose, thin round brows, large eyes. Skin: medium olive.","1","{""width"":256,""height"":237,""x"":0,""y"":9,""before_eye_y"":110.77142252670751,""before_neck_bottom"":219,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","d67de18340a45788fdac463ab9486ef8d1e7a2b9303e7dacd4c85451528f3eab","256","256","6","48725","16811","원본 그림에서 파생한 흰색 영역 마스크; 프롬프트는 그림 생성 원문"
"pt_face_c_04","layers/pt_face_c_04.png","face","base","layer","masks/pt_face_c_04_skinmask.png","provenance/raw/pt_face_c_04.png","2cc2a030b56714588b3780ac84caa79ce4ff4202187a9842c5d0f2c22fe5caa2","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_04. DISTINCT IDENTITY: girl aged 16, oval youthful adolescent face, gently upturned nose, arched soft brows. Skin: deep warm brown.","1","{""width"":256,""height"":232,""x"":0,""y"":14,""before_eye_y"":107.72475586828216,""before_neck_bottom"":218,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","96c219cf17d33713d8af85ef5557de65b440c0914ef7439ed551b68a4d751b49","256","256","6","49693","15843",""
"pt_face_c_04","masks/pt_face_c_04_skinmask.png","face","mask","skinmask","","provenance/raw/pt_face_c_04.png","2cc2a030b56714588b3780ac84caa79ce4ff4202187a9842c5d0f2c22fe5caa2","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_c_04. DISTINCT IDENTITY: girl aged 16, oval youthful adolescent face, gently upturned nose, arched soft brows. Skin: deep warm brown.","1","{""width"":256,""height"":232,""x"":0,""y"":14,""before_eye_y"":107.72475586828216,""before_neck_bottom"":218,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","ecc38703a420bfe7388365f5373d9d8991b78fda0f3c7e492141b348770be925","256","256","6","50081","15455","원본 그림에서 파생한 흰색 영역 마스크; 프롬프트는 그림 생성 원문"
"pt_face_f_01","layers/pt_face_f_01.png","face","base","layer","masks/pt_face_f_01_skinmask.png","provenance/raw/pt_face_f_01.png","3ae088833c1c893bf097279ed6b8270643eee3090e635cde1ae9c1267ce57a17","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_f_01. DISTINCT IDENTITY: adult woman, oval face, medium straight nose, soft broad jaw, softly arched eyebrows, almond eyes. Skin: medium warm.","1","{""width"":256,""height"":231,""x"":0,""y"":20,""before_eye_y"":102.4034759141401,""before_neck_bottom"":213,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","e5ff179f6b275ab11fe30f3a98c94b7c375cc909ff2256caa91d594afe1f5b74","256","256","6","49930","15606",""
"pt_face_f_01","masks/pt_face_f_01_skinmask.png","face","mask","skinmask","","provenance/raw/pt_face_f_01.png","3ae088833c1c893bf097279ed6b8270643eee3090e635cde1ae9c1267ce57a17","Create ONE production modular portrait FACE ONLY layer, historical painterly city-builder. Reference is exact registration and style anchor. TRANSPARENT RGBA background. Square canvas mapping to 256x256; scaled proportionally if larger. Face LEFT in identical 3/4 view. Eye centers y=112/256 (far eye x=78, near eye x=110), crown near (133,45), ear near (169,124), neck ends near y=212, shoulder attachment y=208. Preserve these anchors and head scale exactly for same existing hood and hair. Soft upper-left light. Muted warm hand-painted fine texture matching reference, not photorealistic. Head and neck only, completely BALD, no beard, NO hair, NO clothing, no background, no label. Neutral calm expression. Identity varies via jaw, nose, cheeks and brows; DO NOT copy reference identity. Skin shade independent of class, wealth, morality, occupation. Asset pt_face_f_01. DISTINCT IDENTITY: adult woman, oval face, medium straight nose, soft broad jaw, softly arched eyebrows, almond eyes. Skin: medium warm.","1","{""width"":256,""height"":231,""x"":0,""y"":20,""before_eye_y"":102.4034759141401,""before_neck_bottom"":213,""target_eye_y"":112,""target_neck_bottom"":212}","candidate","0ad26ba40a2e302079834eedc49a86f451e1b1373c6ee633612b08d9f9cf26d3","256","256","6","50042","15494","원본 그림에서 파생한 흰색 영역 마스크; 프롬프트는 그림 생성 원문"
