"id","face","age","hair","beard","garment","headwear","seed"
"01","pt_face_f_08","pt_age_f_mature_a","pt_hair_f_04","","pt_garment_merchant_gown","","20260925"
"02","pt_face_m_01","pt_age_m_old_b","pt_hair_m_03","pt_beard_03","pt_garment_work_tunic","","20260925"
"03","pt_face_m_02","pt_age_m_mature_a","pt_hair_m_01","pt_beard_04","pt_garment_merchant_gown","pt_hat_brim","20260925"
"04","pt_face_c_01","","pt_hair_m_09","","pt_garment_work_tunic","","20260925"
"05","pt_face_c_03","","pt_hair_f_09","","pt_garment_merchant_gown","","20260925"
"06","pt_face_f_03","","pt_hair_f_05","","pt_garment_merchant_gown","","20260925"
"07","pt_face_m_08","","pt_hair_m_05","pt_beard_06","pt_garment_merchant_gown","","20260925"
"08","pt_face_m_06","pt_age_m_mature_a","pt_hair_m_03","pt_beard_05","pt_garment_merchant_gown","pt_hood","20260925"
"09","pt_face_m_07","pt_age_m_mature_a","pt_hair_m_07","pt_beard_02","pt_garment_merchant_gown","pt_hood","20260925"
"10","pt_face_f_04","pt_age_f_mature_a","pt_hair_f_06","","pt_garment_merchant_gown","","20260925"
"11","pt_face_m_03","pt_age_m_mature_a","pt_hair_m_05","pt_beard_06","pt_garment_merchant_gown","","20260925"
"12","pt_face_m_04","pt_age_m_old_a","pt_hair_m_07","pt_beard_08","pt_garment_merchant_gown","pt_hat_brim","20260925"
"13","pt_face_f_07","pt_age_f_old_a","pt_hair_f_01","","pt_garment_merchant_gown","","20260925"
"14","pt_face_m_05","pt_age_m_old_a","pt_hair_m_03","pt_beard_09","pt_garment_merchant_gown","","20260925"
"15","pt_face_c_04","","pt_hair_f_09","","pt_garment_merchant_gown","","20260925"
"16","pt_face_m_02","","pt_hair_m_05","pt_beard_08","pt_garment_work_tunic","","20260925"
"17","pt_face_c_02","","pt_hair_m_09","","pt_garment_work_tunic","pt_hood","20260925"
"18","pt_face_f_02","pt_age_f_old_a","pt_hair_f_09","","pt_garment_work_tunic","","20260925"
"19","pt_face_f_05","pt_age_f_mature_a","pt_hair_f_05","","pt_garment_merchant_gown","","20260925"
"20","pt_face_f_01","pt_age_f_old_b","pt_hair_f_03","","pt_garment_merchant_gown","","20260925"
"21","pt_face_f_03","pt_age_f_old_a","pt_hair_f_03","","pt_garment_work_tunic","pt_hood","20260925"
"22","pt_face_m_05","pt_age_m_mature_a","pt_hair_m_05","pt_beard_02","pt_garment_work_tunic","","20260925"
"23","pt_face_f_07","","pt_hair_f_01","","pt_garment_work_tunic","pt_hood","20260925"
"24","pt_face_f_06","pt_age_f_old_b","pt_hair_f_05","","pt_garment_work_tunic","pt_hat_brim","20260925"
