"logical_id","kind","label","status","code_only","layer_files","mask_files","notes"
"pt_face_c_01","face","pt_face_c_01","candidate","false","layers/pt_face_c_01.png","masks/pt_face_c_01_skinmask.png",""
"pt_face_c_02","face","pt_face_c_02","candidate","false","layers/pt_face_c_02.png","masks/pt_face_c_02_skinmask.png",""
"pt_face_c_03","face","pt_face_c_03","candidate","false","layers/pt_face_c_03.png","masks/pt_face_c_03_skinmask.png",""
"pt_face_c_04","face","pt_face_c_04","candidate","false","layers/pt_face_c_04.png","masks/pt_face_c_04_skinmask.png",""
"pt_face_f_01","face","pt_face_f_01","candidate","false","layers/pt_face_f_01.png","masks/pt_face_f_01_skinmask.png",""
"pt_face_f_02","face","pt_face_f_02","candidate","false","layers/pt_face_f_02.png","masks/pt_face_f_02_skinmask.png",""
"pt_face_f_03","face","pt_face_f_03","candidate","false","layers/pt_face_f_03.png","masks/pt_face_f_03_skinmask.png",""
"pt_face_f_04","face","pt_face_f_04","candidate","false","layers/pt_face_f_04.png","masks/pt_face_f_04_skinmask.png",""
"pt_face_f_05","face","pt_face_f_05","candidate","false","layers/pt_face_f_05.png","masks/pt_face_f_05_skinmask.png",""
"pt_face_f_06","face","pt_face_f_06","candidate","false","layers/pt_face_f_06.png","masks/pt_face_f_06_skinmask.png",""
"pt_face_f_07","face","pt_face_f_07","candidate","false","layers/pt_face_f_07.png","masks/pt_face_f_07_skinmask.png",""
"pt_face_f_08","face","pt_face_f_08","candidate","false","layers/pt_face_f_08.png","masks/pt_face_f_08_skinmask.png",""
"pt_face_m_01","face","pt_face_m_01","candidate","false","layers/pt_face_m_01.png","masks/pt_face_m_01_skinmask.png",""
"pt_face_m_02","face","pt_face_m_02","candidate","false","layers/pt_face_m_02.png","masks/pt_face_m_02_skinmask.png",""
"pt_face_m_03","face","pt_face_m_03","candidate","false","layers/pt_face_m_03.png","masks/pt_face_m_03_skinmask.png",""
"pt_face_m_04","face","pt_face_m_04","candidate","false","layers/pt_face_m_04.png","masks/pt_face_m_04_skinmask.png",""
"pt_face_m_05","face","pt_face_m_05","candidate","false","layers/pt_face_m_05.png","masks/pt_face_m_05_skinmask.png",""
"pt_face_m_06","face","pt_face_m_06","candidate","false","layers/pt_face_m_06.png","masks/pt_face_m_06_skinmask.png",""
"pt_face_m_07","face","pt_face_m_07","candidate","false","layers/pt_face_m_07.png","masks/pt_face_m_07_skinmask.png",""
"pt_face_m_08","face","pt_face_m_08","candidate","false","layers/pt_face_m_08.png","masks/pt_face_m_08_skinmask.png",""
"pt_age_f_mature_a","age","pt_age_f_mature_a","candidate","false","layers/pt_age_f_mature_a.png","","선택된 생성 리비전: 2"
"pt_age_f_mature_b","age","pt_age_f_mature_b","candidate","false","layers/pt_age_f_mature_b.png","","선택된 생성 리비전: 2"
"pt_age_f_old_a","age","pt_age_f_old_a","candidate","false","layers/pt_age_f_old_a.png","","선택된 생성 리비전: 2"
"pt_age_f_old_b","age","pt_age_f_old_b","candidate","false","layers/pt_age_f_old_b.png","","선택된 생성 리비전: 2"
"pt_age_m_mature_a","age","pt_age_m_mature_a","candidate","false","layers/pt_age_m_mature_a.png","","선택된 생성 리비전: 2"
"pt_age_m_mature_b","age","pt_age_m_mature_b","candidate","false","layers/pt_age_m_mature_b.png","","선택된 생성 리비전: 2"
"pt_age_m_old_a","age","pt_age_m_old_a","candidate","false","layers/pt_age_m_old_a.png","","선택된 생성 리비전: 2"
"pt_age_m_old_b","age","pt_age_m_old_b","candidate","false","layers/pt_age_m_old_b.png","","선택된 생성 리비전: 2"
