"logical_id","file","kind","role","part","size_class","collar","crown_x","crown_y","hairline_x","hairline_y","eye_line_y","ear_x","ear_y","chin_x","chin_y","shoulder_y","source_ids","source_paths","source_sha256","full_prompt","processing_json","usage_policy","status","sha256","width","height","transparent_pixels","nonzero_alpha_pixels"
"pt_age_f_mature_a","layers/pt_age_f_mature_a.png","age","layer","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_mature_a","provenance/raw/generated-pt_age_f_mature_a.png","15523e951beaadec02cc61a846d9d43c3c632bd2a759b36d043b13a05448905a","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_mature_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","f09a0beaf18f3f66bff8d6e901959bf17026f96a44cdecfad2ffa0f81625fcc0","256","256","56630","8906"
"pt_age_f_mature_a","masks/pt_age_f_mature_a_skinmask.png","age","skinmask","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_mature_a","provenance/raw/generated-pt_age_f_mature_a.png","15523e951beaadec02cc61a846d9d43c3c632bd2a759b36d043b13a05448905a","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_mature_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","9fc3e62abf95ab4cbd6062927f02e30c79a6253eac8eabef9c1d06264339c5fe","256","256","56630","8906"
"pt_age_f_mature_b","layers/pt_age_f_mature_b.png","age","layer","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_mature_b","provenance/raw/generated-pt_age_f_mature_b.png","87c269a4fef94d1cd43541d113667dea37e9b6313173e8e1baa3923ffd63dc35","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. More cheek hollowing and mouth-side folds, asymmetrical natural crowfeet. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_mature_b.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","93f2ce4c0c2dea75d51f901cdf71c9e79272f29d6100081b5464ea8e83994180","256","256","56891","8645"
"pt_age_f_mature_b","masks/pt_age_f_mature_b_skinmask.png","age","skinmask","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_mature_b","provenance/raw/generated-pt_age_f_mature_b.png","87c269a4fef94d1cd43541d113667dea37e9b6313173e8e1baa3923ffd63dc35","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. More cheek hollowing and mouth-side folds, asymmetrical natural crowfeet. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_mature_b.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","c75e196610fc50bdbf6f88991689c767ec874171cb4c70c5291c48be4e977e3b","256","256","56891","8645"
"pt_age_f_old_a","layers/pt_age_f_old_a.png","age","layer","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_old_a","provenance/raw/generated-pt_age_f_old_a.png","9c0a98ac90a79de3601f08ddd17eb80cbffc875fc27f5bf335b71d0cfc1a163e","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age75, deep sagging bags hollow cheeks pronounced jowls and deeply creased skin. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_old_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","67fefd58b02b95b413f3b17488dfd51777bd62962fe11b4771f61f0059f0551b","256","256","56482","9054"
"pt_age_f_old_a","masks/pt_age_f_old_a_skinmask.png","age","skinmask","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_old_a","provenance/raw/generated-pt_age_f_old_a.png","9c0a98ac90a79de3601f08ddd17eb80cbffc875fc27f5bf335b71d0cfc1a163e","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age75, deep sagging bags hollow cheeks pronounced jowls and deeply creased skin. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_old_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","67e911b48670a591d7279572393306daeef10fcaf376e070f9e863c385446d5a","256","256","56482","9054"
"pt_age_f_old_b","layers/pt_age_f_old_b.png","age","layer","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_old_b","provenance/raw/generated-pt_age_f_old_b.png","a362d9a1bdd4247f42f217169076bc08e889b03747e3d5d6e73c3e3d0b3022c0","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age75, deep sagging bags hollow cheeks pronounced jowls and deeply creased skin. More cheek hollowing and mouth-side folds, asymmetrical natural crowfeet. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_old_b.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","c77b48a9216741a4c49d513ba09510ad922634a9da5c461bdb538eb5d6f0fd63","256","256","56429","9107"
"pt_age_f_old_b","masks/pt_age_f_old_b_skinmask.png","age","skinmask","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_f_old_b","provenance/raw/generated-pt_age_f_old_b.png","a362d9a1bdd4247f42f217169076bc08e889b03747e3d5d6e73c3e3d0b3022c0","Create a transparent modular AGING OVERLAY ONLY for the attached registered female portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age75, deep sagging bags hollow cheeks pronounced jowls and deeply creased skin. More cheek hollowing and mouth-side folds, asymmetrical natural crowfeet. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_f_old_b.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","7a889b27406c4977f86ce088edb72b1fb5f95a981863dd08e4ff7f6114a0ab94","256","256","56429","9107"
"pt_age_m_mature_a","layers/pt_age_m_mature_a.png","age","layer","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_m_mature_a","provenance/raw/generated-pt_age_m_mature_a.png","832076317d6eb8096fb809622da9ec4a404d0b62a512a55c9ef33dc1bd9580ae","Create a transparent modular AGING OVERLAY ONLY for the attached registered male portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_m_mature_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","d1cf44fb91db22de0709b7a540900a6b41e93a101d4bd52474b71cbabd82e41c","256","256","56195","9341"
"pt_age_m_mature_a","masks/pt_age_m_mature_a_skinmask.png","age","skinmask","base","adult","","119","40","105","70","112","150","120","98","168","208","generated-pt_age_m_mature_a","provenance/raw/generated-pt_age_m_mature_a.png","832076317d6eb8096fb809622da9ec4a404d0b62a512a55c9ef33dc1bd9580ae","Create a transparent modular AGING OVERLAY ONLY for the attached registered male portrait. Do not output a whole head, do not output eyes eyebrows nose lips hair or clothing. Output only isolated softly feathered localized skin aging patches, on actual transparent background: forehead crease shading, crow feet beside eyes, substantial under-eye bags BELOW the eyes, nasolabial shadow folds BESIDE nose/mouth, hollow cheek shading and jowl/neck folds. These patches must combine over the SAME person without replacing their eyes nose lips or face outline. Skin base neutral medium warm #B38360. Painterly realistic medieval game portrait, soft upperleft light, same left-facing threequarter pose. Square image logical256x256; preserve exact registration of reference, do NOT recenter/crop/enlarge. Crown40, frontal hairline70, eye centers y112 at x70 and96, visible ear150,120, chin98,168, shoulder208. Keep pixels outside head and facial features completely transparent. Important strong aging readable at96px, age60, clear thirty-year aging, substantial bags and deep nasolabial folds. Balanced bilateral aging, broad under-eye bag shapes. Feather patch boundaries gradually to zero alpha across 3 logicalpixels. No white/beige solid facial plate, no opaque oval mask, no text, no guide marks. One separate overlay asset pt_age_m_mature_a.","[""registered skin aging patches"",""facial-feature and outside-face exclusion mask"",""defringe radius2""]","","candidate","60a15c49a6aef674131cb9f99147f31e9955a0ff21804088d00ae96e55592fb4","256","256","56195","9341"
