"id","group","base","active","icon_sheet","icon_x","icon_y","icon_w","icon_h","canvas_w","canvas_h","pivot_x","pivot_y","footprint","status"
"inn_a","A","assets/bld/inn_a-v1.png","assets/active/inn_a-active-v1.png","assets/icons/buildings_AB-96.png","0","0","96","96","352","280","164","271","3x2","candidate"
"inn_b","A","assets/bld/inn_b-v1.png","assets/active/inn_b-active-v1.png","assets/icons/buildings_AB-96.png","96","0","96","96","352","280","206","271","3x2","candidate"
"communal_oven","A","assets/bld/communal_oven-v1.png","assets/active/communal_oven-active-v1.png","assets/icons/buildings_AB-96.png","192","0","96","96","144","160","91","151","1x1","candidate"
"ditch_drain","A","assets/bld/ditch_drain-v1.png","","assets/icons/buildings_AB-96.png","288","0","96","96","128","64","81","52","module","candidate"
"smithy_a","B","assets/bld/smithy_a-v1.png","assets/active/smithy_a-active-v1.png","assets/icons/buildings_AB-96.png","384","0","96","96","137","137","80","128","1x1","candidate"
"smithy_b","B","assets/bld/smithy_b-v1.png","assets/active/smithy_b-active-v1.png","assets/icons/buildings_AB-96.png","480","0","96","96","137","137","83","128","1x1","candidate"
"cordwainer","B","assets/bld/cordwainer-v1.png","assets/active/cordwainer-active-v1.png","assets/icons/buildings_AB-96.png","576","0","96","96","137","137","82","128","1x1","candidate"
"tailor","B","assets/bld/tailor-v1.png","assets/active/tailor-active-v1.png","assets/icons/buildings_AB-96.png","672","0","96","96","137","137","76","128","1x1","candidate"
"tannery_a","B","assets/bld/tannery_a-v1.png","assets/active/tannery_a-active-v1.png","assets/icons/buildings_AB-96.png","768","0","96","96","288","228","249","219","2x2","candidate"
"tannery_b","B","assets/bld/tannery_b-v1.png","assets/active/tannery_b-active-v1.png","assets/icons/buildings_AB-96.png","864","0","96","96","288","228","172","219","2x2","candidate"
"lime_kiln","B","assets/bld/lime_kiln-v1.png","assets/active/lime_kiln-active-v1.png","assets/icons/buildings_AB-96.png","960","0","96","96","288","264","133","255","2x2","candidate"
"charcoal_clamp","B","assets/bld/charcoal_clamp-v1.png","assets/active/charcoal_clamp-active-v1.png","assets/icons/buildings_AB-96.png","1056","0","96","96","144","160","74","151","1x1","candidate"
"pottery_kiln","B","assets/bld/pottery_kiln-v1.png","assets/active/pottery_kiln-active-v1.png","assets/icons/buildings_AB-96.png","1152","0","96","96","288","252","201","243","2x2","candidate"
"butcher_shambles","B","assets/bld/butcher_shambles-v1.png","assets/active/butcher_shambles-active-v1.png","assets/icons/buildings_AB-96.png","1248","0","96","96","224","176","67","167","2x1","candidate"
"market_cross_wood","C","assets/bld/market_cross_wood-v1.png","assets/active/market_cross_wood-active-v1.png","assets/icons/buildings_C-96.png","0","0","96","96","144","160","69","151","1x1","candidate"
"market_cross_stone","C","assets/bld/market_cross_stone-v1.png","assets/active/market_cross_stone-active-v1.png","assets/icons/buildings_C-96.png","96","0","96","96","144","176","71","167","1x1","candidate"
"almshouse","C","assets/bld/almshouse-v1.png","assets/active/almshouse-active-v1.png","assets/icons/buildings_C-96.png","192","0","96","96","288","200","76","191","3x1","candidate"
"hospital","C","assets/bld/hospital-v1.png","assets/active/hospital-active-v1.png","assets/icons/buildings_C-96.png","288","0","96","96","352","272","273","263","3x2","candidate"
"chantry_chapel","C","assets/bld/chantry_chapel-v1.png","assets/active/chantry_chapel-active-v1.png","assets/icons/buildings_C-96.png","384","0","96","96","160","176","64","167","1x1","candidate"
"manor_house_a","D","assets/bld/manor_house_a-v1.png","assets/active/manor_house_a-active-v1.png","assets/icons/buildings_D-96.png","0","0","96","96","416","328","249","319","3x3","candidate"
"manor_house_b","D","assets/bld/manor_house_b-v1.png","assets/active/manor_house_b-active-v1.png","assets/icons/buildings_D-96.png","96","0","96","96","416","328","251","319","3x3","candidate"
"guildhall","D","assets/bld/guildhall-v1.png","assets/active/guildhall-active-v1.png","assets/icons/buildings_D-96.png","192","0","96","96","352","300","107","291","3x2","candidate"
"tolbooth","D","assets/bld/tolbooth-v1.png","assets/active/tolbooth-active-v1.png","assets/icons/buildings_D-96.png","288","0","96","96","288","292","104","283","2x2","candidate"
"tithe_barn","D","assets/bld/tithe_barn-v1.png","assets/active/tithe_barn-active-v1.png","assets/icons/buildings_D-96.png","384","0","96","96","416","264","116","255","4x2","candidate"
"bridge_chapel","D","assets/bld/bridge_chapel-v1.png","assets/active/bridge_chapel-active-v1.png","assets/icons/buildings_D-96.png","480","0","96","96","160","192","59","183","module","candidate"
"conduit_house","D","assets/bld/conduit_house-v1.png","assets/active/conduit_house-active-v1.png","assets/icons/buildings_D-96.png","576","0","96","96","160","176","69","167","1x1","candidate"
"priory_cell","D","assets/bld/priory_cell-v1.png","assets/active/priory_cell-active-v1.png","assets/icons/buildings_D-96.png","672","0","96","96","480","352","284","343","4x3","candidate"
"pilgrim_shrine","D","assets/bld/pilgrim_shrine-v1.png","assets/active/pilgrim_shrine-active-v1.png","assets/icons/buildings_D-96.png","768","0","96","96","144","160","72","151","1x1","candidate"
"quay","D","assets/bld/quay-v1.png","assets/active/quay-active-v1.png","assets/icons/buildings_D-96.png","864","0","96","96","256","128","68","119","module","candidate"
