"id","file","kind","status","sha256","full_prompt","processing"
"inn_a","assets/bld/inn_a-v1.png","base","approved-preserved","805ee5d3aa8739018a7495dc4034f47b29f309c74acd337d7e197722f824ed9f","unchanged from approved Wave12","byte-for-byte copy"
"inn_a_active","assets/active/inn_a-active-v1.png","overlay","candidate-rework","ad89cf31f453338a18fe194e11d2cc497fd0d6eee8e0238b1dae640d340f9f3c","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"inn_b","assets/bld/inn_b-v1.png","base","approved-preserved","bf5d87b560373de18c3250bd2ff4944ade46594e12bb79714472820c489755a6","unchanged from approved Wave12","byte-for-byte copy"
"inn_b_active","assets/active/inn_b-active-v1.png","overlay","candidate-rework","71ea2a73d401f913bc364637ee76317f21ae80fecad901ee1cda3814fd349b67","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"communal_oven","assets/bld/communal_oven-v1.png","base","approved-preserved","4b1b0960e9654539b4ecb3f3bc4358ab993742b3ad10b408571ca448d30dd43b","unchanged from approved Wave12","byte-for-byte copy"
"communal_oven_active","assets/active/communal_oven-active-v1.png","overlay","approved-preserved","ab8c32bac0c297e70d1549b54005fb4a238bc3c17f669048c21ea657fb1a4e9f","unchanged from approved Wave12","byte-for-byte copy"
"ditch_drain","assets/bld/ditch_drain-v1.png","base","approved-preserved","a31bd52910edbc49843a36c4fa40be5dae334874129d60f536bb664a2be62d9c","unchanged from approved Wave12","byte-for-byte copy"
"smithy_a","assets/bld/smithy_a-v1.png","base","approved-preserved","f915bfe2b4fea0d6e2dff33f0a766a6b271b66cd6f726764a25434ada68efed9","unchanged from approved Wave12","byte-for-byte copy"
"smithy_a_active","assets/active/smithy_a-active-v1.png","overlay","candidate-rework","631d9528384e7ab2a4cfb7703b60684a28f3814122eb44424bc7d46e52ed868d","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey hearth SMOKE plume tapering to a single bottom emission point, substantial readable silhouette, NO chimney/roof/background. COLUMN 2: A LARGE GLOWING FORGE HEARTH interior with broad orange-hot coals and several yellow-orange FLAMES and flying sparks, dark firebox cavity behind, no wall or building, warm amber light at edges.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"smithy_b","assets/bld/smithy_b-v1.png","base","approved-preserved","e214148379a8394dd3da2c4c28a415ddcb5902d5a1f0d560396b11a4dce6d6ac","unchanged from approved Wave12","byte-for-byte copy"
