"id","footprint_x_tiles","footprint_y_tiles","footprint_basis","raw_footprint_projected_width","raw_footprint_projected_depth","canvas_w","canvas_h","pivot_x","pivot_y","base_file","active_file","icon_sheet","icon_x","icon_y","icon_w","icon_h","active_revision","changed_pixels_at_zoom1","self_verdict","signal"
"inn_a","3","2","original brief","320","160","352","280","164","271","assets/bld/inn_a-v1.png","assets/active/inn_a-active-v1.png","assets/icons/buildings_AB-96.png","0","0","96","96","rework-v2","864","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"inn_b","3","2","original brief","320","160","352","280","206","271","assets/bld/inn_b-v1.png","assets/active/inn_b-active-v1.png","assets/icons/buildings_AB-96.png","96","0","96","96","rework-v2","503","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"communal_oven","1","1","original brief","128","64","144","160","91","151","assets/bld/communal_oven-v1.png","assets/active/communal_oven-active-v1.png","assets/icons/buildings_AB-96.png","192","0","96","96","approved-v1","","user-approved","oven_fire_smoke"
"ditch_drain","1","1","new intended module footprint: 1x1 envelope for128x64 repeat module","128","64","128","64","81","52","assets/bld/ditch_drain-v1.png","","assets/icons/buildings_AB-96.png","288","0","96","96","none","","not applicable","none"
"smithy_a","1","1","original brief","128","64","137","137","80","128","assets/bld/smithy_a-v1.png","assets/active/smithy_a-active-v1.png","assets/icons/buildings_AB-96.png","384","0","96","96","rework-v2","268","see self_review.md","A BROAD pale grey hearth SMOKE plume tapering to a single bottom emission point, substantial readable silhouette, NO chimney/roof/background. / A LARGE GLOWING FORGE HEARTH interior with broad orange-hot coals and several yellow-orange FLAMES and flying sparks, dark firebox cavity behind, no wall or building, warm amber light at edges."
"smithy_b","1","1","original brief","128","64","137","137","83","128","assets/bld/smithy_b-v1.png","assets/active/smithy_b-active-v1.png","assets/icons/buildings_AB-96.png","480","0","96","96","rework-v2","265","see self_review.md","A BROAD pale grey hearth SMOKE plume tapering to a single bottom emission point, substantial readable silhouette, NO chimney/roof/background. / A LARGE GLOWING FORGE HEARTH interior with broad orange-hot coals and several yellow-orange FLAMES and flying sparks, dark firebox cavity behind, no wall or building, warm amber light at edges."
"cordwainer","1","1","original brief","128","64","137","137","82","128","assets/bld/cordwainer-v1.png","assets/active/cordwainer-active-v1.png","assets/icons/buildings_AB-96.png","576","0","96","96","rework-v2","356","see self_review.md","OPEN wooden shop shutter with both leaves visibly folded outward around DARK OPEN INTERIOR, no wall. / A large FRONT DISPLAY COUNTER with SIX substantial medieval brown leather SHOES, arranged prominently, light buff countercloth, clearly readable silhouette."
"tailor","1","1","original brief","128","64","137","137","76","128","assets/bld/tailor-v1.png","assets/active/tailor-active-v1.png","assets/icons/buildings_AB-96.png","672","0","96","96","rework-v2","364","see self_review.md","OPEN wooden shop shutter with both leaves visibly folded outward around DARK OPEN INTERIOR, no wall. / A large FRONT DISPLAY COUNTER prominently draped with broad RUSSET RED and muted OLIVE lengths of CLOTH, big simple folds, cloth hangs over front."
"tannery_a","2","2","original brief","256","128","288","228","249","219","assets/bld/tannery_a-v1.png","assets/active/tannery_a-active-v1.png","assets/icons/buildings_AB-96.png","768","0","96","96","rework-v2","1262","see self_review.md","A BROAD pale-grey STEAM cloud rising from one narrow bottom point, pronounced readable vapour, no container or ground. / THREE LARGE animal HIDES hanging together from a light oak drying beam, cream and tawny silhouettes, no blood, large clear shapes."
"tannery_b","2","2","original brief","256","128","288","228","172","219","assets/bld/tannery_b-v1.png","assets/active/tannery_b-active-v1.png","assets/icons/buildings_AB-96.png","864","0","96","96","rework-v2","1603","see self_review.md","A BROAD pale-grey STEAM cloud rising from one narrow bottom point, pronounced readable vapour, no container or ground. / THREE LARGE animal HIDES hanging together from a light oak drying beam, cream and tawny silhouettes, no blood, large clear shapes."
