asset,direction,frame,alpha_ground_x,alpha_ground_y,note
"assets/animal_walk/ox-v1.png","NE","0","44","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","SE","0","59.3","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","SW","0","34.7","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","NW","0","58","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","NE","1","32.15","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","SE","1","62.26","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","SW","1","35.42","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/animal_walk/ox-v1.png","NW","1","65.15","69","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","NE","0","62.61","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","SE","0","86.5","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","SW","0","41.71","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","NW","0","65","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","NE","1","62.61","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","SE","1","86.5","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","SW","1","41.71","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/cart/ox_cart_body-v1.png","NW","1","65","91","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
"assets/herd/wool_sack_convoy-v1.png","NE","0","30.52","57","Geometry measurement, not animal/cart joint anchor; use convoy assembly metadata."
