asset_id,direction,canvas_width,canvas_height,grip_x,grip_y,anchor_basis,file
held_bill_ne-v1,ne,32,32,14,16,candidate local grip; attach to matching template hand,assets/prop/held_bill_ne-v1.png
held_bill_nw-v1,nw,32,32,17,16,candidate local grip; attach to matching template hand,assets/prop/held_bill_nw-v1.png
held_bill_se-v1,se,32,32,14,16,candidate local grip; attach to matching template hand,assets/prop/held_bill_se-v1.png
held_bill_sw-v1,sw,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_bill_sw-v1.png
held_ledger_ne-v1,ne,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_ledger_ne-v1.png
held_ledger_nw-v1,nw,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_ledger_nw-v1.png
held_ledger_se-v1,se,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_ledger_se-v1.png
held_ledger_sw-v1,sw,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_ledger_sw-v1.png
held_longbow_ne-v1,ne,32,32,14,16,candidate local grip; attach to matching template hand,assets/prop/held_longbow_ne-v1.png
held_longbow_nw-v1,nw,32,32,15,16,candidate local grip; attach to matching template hand,assets/prop/held_longbow_nw-v1.png
held_longbow_se-v1,se,32,32,17,16,candidate local grip; attach to matching template hand,assets/prop/held_longbow_se-v1.png
held_longbow_sw-v1,sw,32,32,15,16,candidate local grip; attach to matching template hand,assets/prop/held_longbow_sw-v1.png
held_torch_ne-v1,ne,32,32,15,16,candidate local grip; attach to matching template hand,assets/prop/held_torch_ne-v1.png
held_torch_nw-v1,nw,32,32,16,16,candidate local grip; attach to matching template hand,assets/prop/held_torch_nw-v1.png
held_torch_se-v1,se,32,32,15,16,candidate local grip; attach to matching template hand,assets/prop/held_torch_se-v1.png
held_torch_sw-v1,sw,32,32,15,16,candidate local grip; attach to matching template hand,assets/prop/held_torch_sw-v1.png
