asset,direction,frame,template,foot_dx_px,foot_dy_px,head_dx_px,head_dy_px,alpha_difference_pixels,protected_foot_rgb_difference_pixels,clothing_changed_pixels,verdict
wk_levy_archer-v1,NE,0,templates/P4.png,0,0,0,0,0,0,672,PASS
wk_levy_archer-v1,SE,0,templates/P4.png,0,0,0,0,0,0,793,PASS
wk_levy_archer-v1,SW,0,templates/P4.png,0,0,0,0,0,0,750,PASS
wk_levy_archer-v1,NW,0,templates/P4.png,0,0,0,0,0,0,682,PASS
wk_levy_archer-v1,NE,1,templates/P4.png,0,0,0,0,0,0,793,PASS
wk_levy_archer-v1,SE,1,templates/P4.png,0,0,0,0,0,0,816,PASS
wk_levy_archer-v1,SW,1,templates/P4.png,0,0,0,0,0,0,797,PASS
wk_levy_archer-v1,NW,1,templates/P4.png,0,0,0,0,0,0,790,PASS
wk_levy_billman-v1,NE,0,templates/P4.png,0,0,0,0,0,0,776,PASS
wk_levy_billman-v1,SE,0,templates/P4.png,0,0,0,0,0,0,802,PASS
wk_levy_billman-v1,SW,0,templates/P4.png,0,0,0,0,0,0,763,PASS
wk_levy_billman-v1,NW,0,templates/P4.png,0,0,0,0,0,0,786,PASS
wk_levy_billman-v1,NE,1,templates/P4.png,0,0,0,0,0,0,882,PASS
wk_levy_billman-v1,SE,1,templates/P4.png,0,0,0,0,0,0,922,PASS
wk_levy_billman-v1,SW,1,templates/P4.png,0,0,0,0,0,0,896,PASS
wk_levy_billman-v1,NW,1,templates/P4.png,0,0,0,0,0,0,883,PASS
wk_royal_purveyor-v1,NE,0,templates/P1.png,0,0,0,0,0,0,817,PASS
wk_royal_purveyor-v1,SE,0,templates/P1.png,0,0,0,0,0,0,933,PASS
wk_royal_purveyor-v1,SW,0,templates/P1.png,0,0,0,0,0,0,932,PASS
wk_royal_purveyor-v1,NW,0,templates/P1.png,0,0,0,0,0,0,838,PASS
wk_royal_purveyor-v1,NE,1,templates/P1.png,0,0,0,0,0,0,865,PASS
wk_royal_purveyor-v1,SE,1,templates/P1.png,0,0,0,0,0,0,840,PASS
wk_royal_purveyor-v1,SW,1,templates/P1.png,0,0,0,0,0,0,892,PASS
wk_royal_purveyor-v1,NW,1,templates/P1.png,0,0,0,0,0,0,884,PASS
wk_tax_collector-v1,NE,0,templates/P1.png,0,0,0,0,0,0,872,PASS
wk_tax_collector-v1,SE,0,templates/P1.png,0,0,0,0,0,0,955,PASS
wk_tax_collector-v1,SW,0,templates/P1.png,0,0,0,0,0,0,961,PASS
wk_tax_collector-v1,NW,0,templates/P1.png,0,0,0,0,0,0,893,PASS
wk_tax_collector-v1,NE,1,templates/P1.png,0,0,0,0,0,0,886,PASS
wk_tax_collector-v1,SE,1,templates/P1.png,0,0,0,0,0,0,858,PASS
wk_tax_collector-v1,SW,1,templates/P1.png,0,0,0,0,0,0,918,PASS
wk_tax_collector-v1,NW,1,templates/P1.png,0,0,0,0,0,0,905,PASS
wk_raider-v1,NE,0,templates/P4.png,0,0,0,0,0,0,784,PASS
wk_raider-v1,SE,0,templates/P4.png,0,0,0,0,0,0,775,PASS
wk_raider-v1,SW,0,templates/P4.png,0,0,0,0,0,0,760,PASS
wk_raider-v1,NW,0,templates/P4.png,0,0,0,0,0,0,793,PASS
wk_raider-v1,NE,1,templates/P4.png,0,0,0,0,0,0,783,PASS
wk_raider-v1,SE,1,templates/P4.png,0,0,0,0,0,0,820,PASS
wk_raider-v1,SW,1,templates/P4.png,0,0,0,0,0,0,809,PASS
wk_raider-v1,NW,1,templates/P4.png,0,0,0,0,0,0,768,PASS
wk_refugee_family-v1,NE,0,templates/P5.png,0,0,0,0,0,0,769,PASS
wk_refugee_family-v1,SE,0,templates/P5.png,0,0,0,0,0,0,770,PASS
wk_refugee_family-v1,SW,0,templates/P5.png,0,0,0,0,0,0,735,PASS
wk_refugee_family-v1,NW,0,templates/P5.png,0,0,0,0,0,0,763,PASS
wk_refugee_family-v1,NE,1,templates/P5.png,0,0,0,0,0,0,725,PASS
wk_refugee_family-v1,SE,1,templates/P5.png,0,0,0,0,0,0,761,PASS
wk_refugee_family-v1,SW,1,templates/P5.png,0,0,0,0,0,0,742,PASS
wk_refugee_family-v1,NW,1,templates/P5.png,0,0,0,0,0,0,705,PASS
