worker,direction,frame,prop,hand_x,hand_y,prop_grip_x,prop_grip_y,world_scale,overlay_x,overlay_y,draw_order
wk_levy_archer-v1,NE,0,held_longbow_ne-v1,59,35,14,16,2,31,3,body; prop; original 3x3 hand
wk_levy_archer-v1,SE,0,held_longbow_se-v1,25,39,17,16,2,-9,7,body; prop; original 3x3 hand
wk_levy_archer-v1,SW,0,held_longbow_sw-v1,25,34,15,16,2,-5,2,body; prop; original 3x3 hand
wk_levy_archer-v1,NW,0,held_longbow_nw-v1,14,36,15,16,2,-16,4,body; prop; original 3x3 hand
wk_levy_archer-v1,NE,1,held_longbow_ne-v1,59,32,14,16,2,31,0,body; prop; original 3x3 hand
wk_levy_archer-v1,SE,1,held_longbow_se-v1,25,36,17,16,2,-9,4,body; prop; original 3x3 hand
wk_levy_archer-v1,SW,1,held_longbow_sw-v1,23,34,15,16,2,-7,2,body; prop; original 3x3 hand
wk_levy_archer-v1,NW,1,held_longbow_nw-v1,14,36,15,16,2,-16,4,body; prop; original 3x3 hand
wk_levy_billman-v1,NE,0,held_bill_ne-v1,59,35,14,16,2,31,3,body; prop; original 3x3 hand
wk_levy_billman-v1,SE,0,held_bill_se-v1,25,39,14,16,2,-3,7,body; prop; original 3x3 hand
wk_levy_billman-v1,SW,0,held_bill_sw-v1,25,34,16,16,2,-7,2,body; prop; original 3x3 hand
wk_levy_billman-v1,NW,0,held_bill_nw-v1,14,36,17,16,2,-20,4,body; prop; original 3x3 hand
wk_levy_billman-v1,NE,1,held_bill_ne-v1,59,32,14,16,2,31,0,body; prop; original 3x3 hand
wk_levy_billman-v1,SE,1,held_bill_se-v1,25,36,14,16,2,-3,4,body; prop; original 3x3 hand
wk_levy_billman-v1,SW,1,held_bill_sw-v1,23,34,16,16,2,-9,2,body; prop; original 3x3 hand
wk_levy_billman-v1,NW,1,held_bill_nw-v1,14,36,17,16,2,-20,4,body; prop; original 3x3 hand
wk_royal_purveyor-v1,NE,0,held_ledger_ne-v1,61,32,16,16,1,45,16,body; prop; original 3x3 hand
wk_royal_purveyor-v1,SE,0,held_ledger_se-v1,23,36,16,16,1,7,20,body; prop; original 3x3 hand
wk_royal_purveyor-v1,SW,0,held_ledger_sw-v1,26,31,16,16,1,10,15,body; prop; original 3x3 hand
wk_royal_purveyor-v1,NW,0,held_ledger_nw-v1,17,35,16,16,1,1,19,body; prop; original 3x3 hand
wk_royal_purveyor-v1,NE,1,held_ledger_ne-v1,61,32,16,16,1,45,16,body; prop; original 3x3 hand
wk_royal_purveyor-v1,SE,1,held_ledger_se-v1,23,36,16,16,1,7,20,body; prop; original 3x3 hand
wk_royal_purveyor-v1,SW,1,held_ledger_sw-v1,26,32,16,16,1,10,16,body; prop; original 3x3 hand
wk_royal_purveyor-v1,NW,1,held_ledger_nw-v1,17,35,16,16,1,1,19,body; prop; original 3x3 hand
wk_tax_collector-v1,NE,0,held_ledger_ne-v1,61,32,16,16,1,45,16,body; prop; original 3x3 hand
wk_tax_collector-v1,SE,0,held_ledger_se-v1,23,36,16,16,1,7,20,body; prop; original 3x3 hand
wk_tax_collector-v1,SW,0,held_ledger_sw-v1,26,31,16,16,1,10,15,body; prop; original 3x3 hand
wk_tax_collector-v1,NW,0,held_ledger_nw-v1,17,35,16,16,1,1,19,body; prop; original 3x3 hand
wk_tax_collector-v1,NE,1,held_ledger_ne-v1,61,32,16,16,1,45,16,body; prop; original 3x3 hand
wk_tax_collector-v1,SE,1,held_ledger_se-v1,23,36,16,16,1,7,20,body; prop; original 3x3 hand
wk_tax_collector-v1,SW,1,held_ledger_sw-v1,26,32,16,16,1,10,16,body; prop; original 3x3 hand
wk_tax_collector-v1,NW,1,held_ledger_nw-v1,17,35,16,16,1,1,19,body; prop; original 3x3 hand
wk_raider-v1,NE,0,held_torch_ne-v1,59,35,15,16,1,44,19,body; prop; original 3x3 hand
wk_raider-v1,SE,0,held_torch_se-v1,25,39,15,16,1,10,23,body; prop; original 3x3 hand
wk_raider-v1,SW,0,held_torch_sw-v1,25,34,15,16,1,10,18,body; prop; original 3x3 hand
wk_raider-v1,NW,0,held_torch_nw-v1,14,36,16,16,1,-2,20,body; prop; original 3x3 hand
wk_raider-v1,NE,1,held_torch_ne-v1,59,32,15,16,1,44,16,body; prop; original 3x3 hand
wk_raider-v1,SE,1,held_torch_se-v1,25,36,15,16,1,10,20,body; prop; original 3x3 hand
wk_raider-v1,SW,1,held_torch_sw-v1,23,34,15,16,1,8,18,body; prop; original 3x3 hand
wk_raider-v1,NW,1,held_torch_nw-v1,14,36,16,16,1,-2,20,body; prop; original 3x3 hand
wk_refugee_family-v1,NE,0,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,SE,0,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,SW,0,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,NW,0,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,NE,1,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,SE,1,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,SW,1,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
wk_refugee_family-v1,NW,1,refugee_bundle_sheet-v1,,,,,1,0,0,body; bundle; child at +17x
