"asset_id","file","status","era","level","variant","canvas_width","canvas_height","pivot_x","pivot_y","pivot_units","pivot_basis","footprint_tiles_x","footprint_tiles_y","native_to_world_scale","chimney","chimney_count","chimney_material","smoke_origin_x","smoke_origin_y","smoke_origin_units","smoke_baked_into_png","roof_smoke_note","boarded_overlay","snow_overlay","overlay_offset_x","overlay_offset_y","overlay_scale","original_house","reference_sha256","candidate_sha256","generation_tool","generated_master","generated_master_sha256","generated_count","selected_count","full_actual_prompt","manual_processing","selection_reason","era_legibility","scope_note"
"house_l0_1350_a-v1","assets/houses/house_l0_1350_a-v1.png","candidate","1350","0","a","153","153","77.35406698564593","139.57894736842104","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4995704948646125","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","built-in image_gen edit","provenance/generated/house_l0_1350_a-v1-raw.png","954b711f8cb8b830be85563b07d8edf4798a7fa71b4cf2eb9a2af7600f120f36","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l0_1350_a-v1. Poor low single-storey cottage. Only modest evolution: fresh neatly repaired thatch within exact roof geometry, straighter doorway frame, restrained cream daub repairs. No new storey. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","restrained low-grade joinery/shutter change; not an independent date label at zoom0.6","candidate only; not installed"
"house_l0_1350_b-v1","assets/houses/house_l0_1350_b-v1.png","candidate","1350","0","b","153","153","77.35406698564593","139.57894736842104","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4995704948646125","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","built-in image_gen edit","provenance/generated/house_l0_1350_b-v1-raw.png","bc1c3fa561173db4c54347a15c789a549ef0a5e7c928408a0fd69022b2941733","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l0_1350_b-v1. Poor low single-storey cottage. Only modest evolution: fresh neatly repaired thatch within exact roof geometry, straighter doorway frame, restrained cream daub repairs. No new storey. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","restrained low-grade joinery/shutter change; not an independent date label at zoom0.6","candidate only; not installed"
"house_l1_1350_a-v1","assets/houses/house_l1_1350_a-v1.png","candidate","1350","1","a","139","139","71.66148325358851","125.92025518341308","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4986217267599071","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","built-in image_gen edit","provenance/generated/house_l1_1350_a-v1-raw.png","79525a7ec441818513e51bb0cbdff0425351a12522febde7b83384b6646800fb","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l1_1350_a-v1. Stable modest single-storey cottage with loft. Small evolution: tidier maintained thatch, stronger straight oak doorposts and modest more regular wall panels, same openings. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","restrained low-grade joinery/shutter change; not an independent date label at zoom0.6","candidate only; not installed"
"house_l1_1350_b-v1","assets/houses/house_l1_1350_b-v1.png","candidate","1350","1","b","139","139","71.66148325358851","125.92025518341308","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4986217267599071","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","built-in image_gen edit","provenance/generated/house_l1_1350_b-v1-raw.png","292c8a9473f0def53ec555d3886804ee423720b0436e1b79b51879f9c38ecbc4","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l1_1350_b-v1. Stable modest single-storey cottage with loft. Small evolution: tidier maintained thatch, stronger straight oak doorposts and modest more regular wall panels, same openings. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","restrained low-grade joinery/shutter change; not an independent date label at zoom0.6","candidate only; not installed"
"house_l2_1350_a-v1","assets/houses/house_l2_1350_a-v1.png","candidate","1350","2","a","137","137","70.95813397129186","132.08373205741626","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4980801861842801","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l2-v2.png","references/overlays/roof_snow_l2-v2.png","0","0","1","references/houses/house_l2-v2.png","57c717005bf698a915d2a19c42682a80b48f873c2a9226fc7f6b144a16a0c85e","ae9f64c7f7f19a24b8fa94b186e29591fe7b1a20329d323690f5a46e92d236b4","built-in image_gen edit","provenance/generated/house_l2_1350_a-v1-raw.png","7be2b7d8fe8dbcdcb86958a5a2169dcc7180328f56c7fd0d8c02e0dd3dd4b4d6","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l2_1350_a-v1. Two-storey artisan house. Clear 1350 regular box-frame facade: thick warm dark oak horizontal rails and regular upright posts, restrained clean warm cream limewash. Readable horizontal jetty band under upper storey, entirely inside existing wall silhouette. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
"house_l2_1350_b-v1","assets/houses/house_l2_1350_b-v1.png","candidate","1350","2","b","137","137","70.95813397129186","132.08373205741626","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4980801861842801","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l2-v2.png","references/overlays/roof_snow_l2-v2.png","0","0","1","references/houses/house_l2-v2.png","57c717005bf698a915d2a19c42682a80b48f873c2a9226fc7f6b144a16a0c85e","cba8b2613b80b4a1d223a76aefb7b2b69d8b11207ab4b3e9ec699b14a2fa6409","built-in image_gen edit","provenance/generated/house_l2_1350_b-v1-raw.png","d7ec24d8187207a5c44d87c9a4f46c0b8cdb1e2ffe68913a9725b505a37550a3","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l2_1350_b-v1. Two-storey artisan house. Clear 1350 regular box-frame facade: thick warm dark oak horizontal rails and regular upright posts, restrained clean warm cream limewash. Readable horizontal jetty band under upper storey, entirely inside existing wall silhouette. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
"house_l3_1350_a-v1","assets/houses/house_l3_1350_a-v1.png","candidate","1350","3","a","142","142","74.39712918660287","138.03668261562999","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4983578424454543","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l3-v2.png","references/overlays/roof_snow_l3-v2.png","0","0","1","references/houses/house_l3-v2.png","2c557c5345a568e1bf80e9ba7fdc9c3bfc5463b6706ffdb9c71e789f320d28dc","56d42b413f9e4401c3341f6365e488fc91d2cd5a3f16a5c453d692a8e05b7acf","built-in image_gen edit","provenance/generated/house_l3_1350_a-v1-raw.png","af591f55af015a758619bfc9030af14409861528e761a14d148ead4fee6ec03d","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l3_1350_a-v1. Merchant house of the same existing height. Strong regular box-frame carpentry and a broad continuous dark horizontal jetty band with chunky supporting corbels below upper floor, cream infill. Make upper storey visibly jettied using existing overhang only. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
"house_l3_1350_b-v1","assets/houses/house_l3_1350_b-v1.png","candidate","1350","3","b","142","142","74.39712918660287","138.03668261562999","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.4983578424454543","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l3-v2.png","references/overlays/roof_snow_l3-v2.png","0","0","1","references/houses/house_l3-v2.png","2c557c5345a568e1bf80e9ba7fdc9c3bfc5463b6706ffdb9c71e789f320d28dc","502a3a0ed205f215d2b49767fe8f05909d9c79cb87def68847c0984c6a60566c","built-in image_gen edit","provenance/generated/house_l3_1350_b-v1-raw.png","c7d08a49d19e224b3a85cbe00724062d2f7990a7622facaa708ea2a4e7b6c48b","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l3_1350_b-v1. Merchant house of the same existing height. Strong regular box-frame carpentry and a broad continuous dark horizontal jetty band with chunky supporting corbels below upper floor, cream infill. Make upper storey visibly jettied using existing overhang only. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
"house_l4_1350_a-v1","assets/houses/house_l4_1350_a-v1.png","candidate","1350","4","a","161","161","81.97647527910686","157.40510366826157","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.49791865539583047","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l4-v2.png","references/overlays/roof_snow_l4-v2.png","0","0","1","references/houses/house_l4-v2.png","b3f7e40cda9de09b2e0af0a596bb8b414b40fb037f46897ab0d4d3cb264d72b8","ec699ac75db4acc8506b85de17e55d1db05b9c52cbb6f3a4e2ae806c4717fbc3","built-in image_gen edit","provenance/generated/house_l4_1350_a-v1-raw.png","e52624d5f877bf91cf21d70fdfe70825baf79ce86f77f0326468f5740d9b0ec9","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l4_1350_a-v1. Prosperous tall timber townhouse of same existing height. Confident regular thick oak box frame, broad continuous jetty beams and compact corbels under upper storeys, warm pale cream infill, carefully maintained joinery. Use existing building volume only. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
"house_l4_1350_b-v1","assets/houses/house_l4_1350_b-v1.png","candidate","1350","4","b","161","161","81.97647527910686","157.40510366826157","native PNG pixels; origin top-left","runtime historicalHouseAssets.ts alpha-crop bottomcenter mapped from1254 source; identical to reference","1","1","0.49791865539583047","false","0","none","","","not applicable","false","existing open-hearth roof smoke behavior; chimney absent","references/overlays/boarded_l4-v2.png","references/overlays/roof_snow_l4-v2.png","0","0","1","references/houses/house_l4-v2.png","b3f7e40cda9de09b2e0af0a596bb8b414b40fb037f46897ab0d4d3cb264d72b8","e47950a387464884f57c4ddb2815946455d3ddbe8ecc874ca0f93062c9ec86f8","built-in image_gen edit","provenance/generated/house_l4_1350_b-v1-raw.png","32fc1312bfa834de9a19c328ab8194d558df642333936d1f1f917698855e2142","1","1","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l4_1350_b-v1. Prosperous tall timber townhouse of same existing height. Confident regular thick oak box frame, broad continuous jetty beams and compact corbels under upper storeys, warm pale cream infill, carefully maintained joinery. Use existing building volume only. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","Generated architecture crop registered once to original native body box; original alpha silhouette except explicit chimney polygon; original Wave7 roof polygons retained; per-column lowest4 original-alpha pixels retained for ground contact; original pivot/canvas/world scale copied. See registration source and polygon records.","Same grade, same original roof and footprint, era facade joins and chimney rule; overlay identity composition verified","box-frame/jetty bands;1400uppergrades add limited glazing/canopy; permitted chimney","candidate only; not installed"
