"house","overlay","type","placement_x","placement_y","house_width","house_height","overlay_width","overlay_height","same_canvas","house_sha256","overlay_sha256","viewed_native","viewed_2x","verdict","note"
"house_l0_1350_a-v1","references/overlays/roof_snow_l0-v2.png","roof_snow","0","0","153","153","153","153","true","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","true","compatible","Roof snow follows preserved roof plane and eaves; no floating roof edge."
"house_l0_1350_a-v1","references/overlays/boarded_l0-v2.png","boarded","0","0","153","153","153","153","true","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","true","compatible","Boards cover corresponding existing openings; no visibly detached board or new doorway conflict."
"house_l0_1350_b-v1","references/overlays/roof_snow_l0-v2.png","roof_snow","0","0","153","153","153","153","true","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","true","compatible","Roof snow follows preserved roof plane and eaves; no floating roof edge."
"house_l0_1350_b-v1","references/overlays/boarded_l0-v2.png","boarded","0","0","153","153","153","153","true","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","true","compatible","Boards cover corresponding existing openings; no visibly detached board or new doorway conflict."
"house_l1_1350_a-v1","references/overlays/roof_snow_l1-v2.png","roof_snow","0","0","139","139","139","139","true","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","true","compatible","Roof snow follows preserved roof plane and eaves; no floating roof edge."
"house_l1_1350_a-v1","references/overlays/boarded_l1-v2.png","boarded","0","0","139","139","139","139","true","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","true","compatible","Boards cover corresponding existing openings; no visibly detached board or new doorway conflict."
"house_l1_1350_b-v1","references/overlays/roof_snow_l1-v2.png","roof_snow","0","0","139","139","139","139","true","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","true","compatible","Roof snow follows preserved roof plane and eaves; no floating roof edge."
"house_l1_1350_b-v1","references/overlays/boarded_l1-v2.png","boarded","0","0","139","139","139","139","true","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","true","compatible","Boards cover corresponding existing openings; no visibly detached board or new doorway conflict."
"house_l2_1350_a-v1","references/overlays/roof_snow_l2-v2.png","roof_snow","0","0","137","137","137","137","true","ae9f64c7f7f19a24b8fa94b186e29591fe7b1a20329d323690f5a46e92d236b4","af53c4c70620f3de88bd957e65b908467fb1939ce95cc06c1eca42a6bcac4043","true","true","compatible","Roof snow follows preserved roof plane and eaves; no floating roof edge."
"house_l2_1350_a-v1","references/overlays/boarded_l2-v2.png","boarded","0","0","137","137","137","137","true","ae9f64c7f7f19a24b8fa94b186e29591fe7b1a20329d323690f5a46e92d236b4","3b3e63fea713e6d5be4f0971b16002512fadd836924d9daf760e4311a21fb5d1","true","true","compatible","Boards cover corresponding existing openings; no visibly detached board or new doorway conflict."
