"id","canvas","alpha_drift_outside_chimney_px","protected_ground_rgba_drift_px","protected_roof_rgba_drift_px","added_chimney_opaque_pixels","smoke_origin","status"
"house_l0_1350_a-v1","153x153","0","0","0","0","","candidate"
"house_l0_1350_b-v1","153x153","0","0","0","0","","candidate"
"house_l1_1350_a-v1","139x139","0","0","0","0","","candidate"
"house_l1_1350_b-v1","139x139","0","0","0","0","","candidate"
"house_l2_1350_a-v1","137x137","0","0","0","0","","candidate"
"house_l2_1350_b-v1","137x137","0","0","0","0","","candidate"
"house_l3_1350_a-v1","142x142","0","0","0","0","","candidate"
"house_l3_1350_b-v1","142x142","0","0","0","0","","candidate"
"house_l4_1350_a-v1","161x161","0","0","0","0","","candidate"
"house_l4_1350_b-v1","161x161","0","0","0","0","","candidate"
"house_l0_1400_a-v1","153x153","0","0","0","0","","candidate"
"house_l0_1400_b-v1","153x153","0","0","0","0","","candidate"
"house_l1_1400_a-v1","139x139","0","0","0","0","","candidate"
"house_l1_1400_b-v1","139x139","0","0","0","0","","candidate"
"house_l2_1400_a-v1","137x137","0","0","0","0","","candidate"
"house_l2_1400_b-v1","137x137","0","0","0","0","","candidate"
"house_l3_1400_a-v1","142x142","0","0","0","0","","candidate"
"house_l3_1400_b-v1","142x142","0","0","0","130","[100,29]","candidate"
"house_l4_1400_a-v1","161x161","0","0","0","176","[111,35]","candidate"
"house_l4_1400_b-v1","161x161","0","0","0","127","[111,37]","candidate"
