"asset_id","base_grade_id","file","status","era","level","variant","version","canvas_width","canvas_height","pivot_x","pivot_y","pivot_units","footprint_tiles_x","footprint_tiles_y","native_to_world_scale","render_contract","alpha_bbox","chimney","chimney_count","chimney_material","smoke_origin_x","smoke_origin_y","smoke_baked_in","jetty_overhang_native_px","jetty_basis","ground_source_points","ground_target_points","ground_mapping_residual_px","ground_landmark_tolerance_px","boarded_overlay","snow_overlay","overlay_offset_x","overlay_offset_y","overlay_scale","candidate_sha256","previous_approved_sha256","reference_house","reference_sha256","generation_method","generated_master","full_actual_prompt","postprocessing","era_signal","scope"
"house_l0_1350_a-v1","house_l0","assets/houses/house_l0_1350_a-v1.png","accepted_unchanged","1350","0","a","1","153","153","77.35406698564593","139.57894736842104","native PNG px; top-left origin","1","1","0.4995704948646125","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":21,""top"":46,""width"":113,""height"":94}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","byte-identical approved reuse","","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l0_1350_a-v1. Poor low single-storey cottage. Only modest evolution: fresh neatly repaired thatch within exact roof geometry, straighter doorway frame, restrained cream daub repairs. No new storey. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l0_1350_b-v1","house_l0","assets/houses/house_l0_1350_b-v1.png","accepted_unchanged","1350","0","b","1","153","153","77.35406698564593","139.57894736842104","native PNG px; top-left origin","1","1","0.4995704948646125","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":21,""top"":46,""width"":113,""height"":94}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","byte-identical approved reuse","","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l0_1350_b-v1. Poor low single-storey cottage. Only modest evolution: fresh neatly repaired thatch within exact roof geometry, straighter doorway frame, restrained cream daub repairs. No new storey. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l0_1400_a-v1","house_l0","assets/houses/house_l0_1400_a-v1.png","accepted_unchanged","1400","0","a","1","153","153","77.35406698564593","139.57894736842104","native PNG px; top-left origin","1","1","0.4995704948646125","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":21,""top"":46,""width"":113,""height"":94}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","4f9a46d7da85b2b3385d00fddebddef03549da9d9c88b1f0cb66629e58c9fe00","4f9a46d7da85b2b3385d00fddebddef03549da9d9c88b1f0cb66629e58c9fe00","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","byte-identical approved reuse","","PRECISE RESKIN EDIT of the attached single isometric house sprite, NOT a new house design. Era1400 southern/southeastern England, same grade L0. Preserve EXACT roof polygon silhouette, roof ridge and eaves positions, ground-contact footprint, projection, camera angle, scale, canvas placement, all existing doorway and window opening CENTERS. Preserve same number of storeys, same grade recognizable. No moved or extra doors/windows, no additional wings, no new ground props. Transparent background. Same warm muted hand-painted game style, warm off-white limewashed daub and brown oak, light from upper left. Keep this modest single-storey cottage poor and simple, retain thatch. Only better straightened door-frame posts and tidier repair bands, subtle earth-plaster finish. NO glazing. Variant a: warm ivory infill with honey-brown shutter boards and simple straight beam finish. ABSOLUTELY NO chimney, no masonry rooftop shaft, no chimney pot, no smoke, no flue, no roof vent of any kind. Output one full house sprite only, transparent alpha, no labels, no sheet, no decorative frame, no ground tile.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l0_1400_b-v1","house_l0","assets/houses/house_l0_1400_b-v1.png","accepted_unchanged","1400","0","b","1","153","153","77.35406698564593","139.57894736842104","native PNG px; top-left origin","1","1","0.4995704948646125","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":21,""top"":46,""width"":113,""height"":94}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l0-v2.png","references/overlays/roof_snow_l0-v2.png","0","0","1","91199690adcbdba30b8926b6aa72b168d2d443d127f6a75f8a6474082b8fe53d","91199690adcbdba30b8926b6aa72b168d2d443d127f6a75f8a6474082b8fe53d","references/houses/house_l0-v3.png","fd1bfc4c4f79728490bf8a5c437bc4b9d78cad5ba97015f8ab83f4ebf21ecd09","byte-identical approved reuse","","PRECISE RESKIN EDIT of the attached single isometric house sprite, NOT a new house design. Era1400 southern/southeastern England, same grade L0. Preserve EXACT roof polygon silhouette, roof ridge and eaves positions, ground-contact footprint, projection, camera angle, scale, canvas placement, all existing doorway and window opening CENTERS. Preserve same number of storeys, same grade recognizable. No moved or extra doors/windows, no additional wings, no new ground props. Transparent background. Same warm muted hand-painted game style, warm off-white limewashed daub and brown oak, light from upper left. Keep this modest single-storey cottage poor and simple, retain thatch. Only better straightened door-frame posts and tidier repair bands, subtle earth-plaster finish. NO glazing. Variant b: slightly earthier cream infill with darker walnut shutters and modest alternate panel repair, same geometry. ABSOLUTELY NO chimney, no masonry rooftop shaft, no chimney pot, no smoke, no flue, no roof vent of any kind. Output one full house sprite only, transparent alpha, no labels, no sheet, no decorative frame, no ground tile.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l1_1350_a-v1","house_l1","assets/houses/house_l1_1350_a-v1.png","accepted_unchanged","1350","1","a","1","139","139","71.66148325358851","125.92025518341308","native PNG px; top-left origin","1","1","0.4986217267599071","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":15,""top"":20,""width"":113,""height"":106}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","byte-identical approved reuse","","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l1_1350_a-v1. Stable modest single-storey cottage with loft. Small evolution: tidier maintained thatch, stronger straight oak doorposts and modest more regular wall panels, same openings. Variant A: warm dark-brown oak frame, muted tawny shutters, simple mostly rectangular regular timber bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l1_1350_b-v1","house_l1","assets/houses/house_l1_1350_b-v1.png","accepted_unchanged","1350","1","b","1","139","139","71.66148325358851","125.92025518341308","native PNG px; top-left origin","1","1","0.4986217267599071","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":15,""top"":20,""width"":113,""height"":106}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","byte-identical approved reuse","","Use case: precise-object-edit. Edit ONLY the attached approved isometric house facade to its circa AD1350 southern English market-town style. Asset house_l1_1350_b-v1. Stable modest single-storey cottage with loft. Small evolution: tidier maintained thatch, stronger straight oak doorposts and modest more regular wall panels, same openings. Variant B: slightly deeper weathered brown oak frame, muted grey-brown shutters, subtle alternative short diagonal brace arrangement inside the existing wall bays. Preserve EXACT original camera, 2:1 isometric projection, entire roof ridge/eaves/roof silhouette and outline, building silhouette, ground footprint, base contact points, original canvas proportions and padding, lighting upper-left, and every door/window opening POSITION and SIZE. Existing snow and boarded-window overlays must continue to align. Repaint original roof surface only with same material and geometry, do not reshape, move, enlarge, raise, add dormers or extend it. Keep original same grade identifiable. NO CHIMNEY, no flue, no chimney pots, no smoke, no glass or blue reflections, no new windows/doors, no people, no props, no surrounding scenery, no text. Single isolated complete building with true transparent RGBA background. Match reference understated painterly small-game sprite texture, restrained warm earth palette and pixel-scale detail, no black-white Tudor revival contrast. Do not redesign a different house.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l1_1400_a-v1","house_l1","assets/houses/house_l1_1400_a-v1.png","accepted_unchanged","1400","1","a","1","139","139","71.66148325358851","125.92025518341308","native PNG px; top-left origin","1","1","0.4986217267599071","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":15,""top"":20,""width"":113,""height"":106}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","061f88c9b58c400efdc134f0198d02bea0ea6dd3cfd08d3890979bf0924747f8","061f88c9b58c400efdc134f0198d02bea0ea6dd3cfd08d3890979bf0924747f8","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","byte-identical approved reuse","","PRECISE RESKIN EDIT of the attached single isometric house sprite, NOT a new house design. Era1400 southern/southeastern England, same grade L1. Preserve EXACT roof polygon silhouette, roof ridge and eaves positions, ground-contact footprint, projection, camera angle, scale, canvas placement, all existing doorway and window opening CENTERS. Preserve same number of storeys, same grade recognizable. No moved or extra doors/windows, no additional wings, no new ground props. Transparent background. Same warm muted hand-painted game style, warm off-white limewashed daub and brown oak, light from upper left. Keep this modest single-storey cottage poor and simple, retain thatch. Only better straightened door-frame posts and tidier repair bands, subtle earth-plaster finish. NO glazing. Variant a: warm ivory infill with honey-brown shutter boards and simple straight beam finish. ABSOLUTELY NO chimney, no masonry rooftop shaft, no chimney pot, no smoke, no flue, no roof vent of any kind. Output one full house sprite only, transparent alpha, no labels, no sheet, no decorative frame, no ground tile.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l1_1400_b-v1","house_l1","assets/houses/house_l1_1400_b-v1.png","accepted_unchanged","1400","1","b","1","139","139","71.66148325358851","125.92025518341308","native PNG px; top-left origin","1","1","0.4986217267599071","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":15,""top"":20,""width"":113,""height"":106}","false","0","none","","","false","","","","","","0","references/overlays/boarded_l1-v2.png","references/overlays/roof_snow_l1-v2.png","0","0","1","2dd0f0962bab1ac7efb532ad489dd69a89fc07ee11a854e22065f0f268362354","2dd0f0962bab1ac7efb532ad489dd69a89fc07ee11a854e22065f0f268362354","references/houses/house_l1-v2.png","84424c358a5434821146ab7c8c260b3ad807595fface5018aff6b6211f2cd3ac","byte-identical approved reuse","","PRECISE RESKIN EDIT of the attached single isometric house sprite, NOT a new house design. Era1400 southern/southeastern England, same grade L1. Preserve EXACT roof polygon silhouette, roof ridge and eaves positions, ground-contact footprint, projection, camera angle, scale, canvas placement, all existing doorway and window opening CENTERS. Preserve same number of storeys, same grade recognizable. No moved or extra doors/windows, no additional wings, no new ground props. Transparent background. Same warm muted hand-painted game style, warm off-white limewashed daub and brown oak, light from upper left. Keep this modest single-storey cottage poor and simple, retain thatch. Only better straightened door-frame posts and tidier repair bands, subtle earth-plaster finish. NO glazing. Variant b: slightly earthier cream infill with darker walnut shutters and modest alternate panel repair, same geometry. ABSOLUTELY NO chimney, no masonry rooftop shaft, no chimney pot, no smoke, no flue, no roof vent of any kind. Output one full house sprite only, transparent alpha, no labels, no sheet, no decorative frame, no ground tile.","No changes; byte-identical copy","Previously accepted low-grade treatment","local candidate package only; not installed"
"house_l2_1350_a-v2","house_l2","assets/houses/house_l2_1350_a-v2.png","candidate_rework","1350","2","a","2","137","137","70.95813397129186","132.08373205741626","native PNG px; top-left origin","1","1","0.4980801861842801","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":4,""top"":6,""width"":125,""height"":128}","false","0","none","","","false","13.299634440268713","manual approximate upper-vs-ground wall setback, not logical tile size","{""left"":[256,963],""front"":[759,1192],""right"":[1030,1044]}","{""left"":[24,103],""front"":[86,131],""right"":[118,113]}","1.4210854715202004e-14","2","assets/overlays/boarded_l2_1350-v3.png","assets/overlays/roof_snow_l2_shared-v3.png","0","0","1","eae7260cade74a7ccb9b22e20e913f2c4634e6fe132fe2ed13fe2ef2469c0f55","","references/houses/house_l2-v2.png","57c717005bf698a915d2a19c42682a80b48f873c2a9226fc7f6b144a16a0c85e","built-in image_gen edit","provenance/generated/house_l2_1350_a-v2-raw.png","Use case: precise-object-edit. Image1 is edit target L2 original house. Image2 is approved1350 architecture/style example, not target silhouette. Evolve IMAGE1 into AD1350 using the bold grammar of IMAGE2. L2 ARTISAN HOUSE: Exactly TWO occupied floors, low simple continuous side-gabled roof like image1. NO front-gable crosswing, no dormer, no extra attic facade, do not copy image2 L3 roof. ONE strongly projecting upper floor. Deep physical 10-14 native pixel upper-floor cantilever above recessed ground floor, visible broad dark underside with protruding chunky joist ends and big triangular brackets. WIDE CONTINUOUS DARK HORIZONTAL UNGLAZED WINDOW BANDS subdivided by thick oak mullions, no isolated small tall windows. Large warm cream panels and regular box frame. Handmade FLAT red-brown clay peg tiles, no rounded pantiles. Same ground footprint/camera/ground corners as original house, upper outline may change. No chimney/flue/smoke/glass/people/scenery/platform/text. True transparent RGBA, reference painterly medieval English game style, upper-left lighting, subdued cream/oak palette. A bold silhouette change must read at source30% zoom.","Native ground-landmark affine registration; upper-only vertical scale to grade original top; original roof/upper silhouette/window masks NOT restored; no recolor-only shortcut. See registration.json.","strong projecting upper storey, deep underside, joist ends/brackets, broad dark horizontal unglazed windows, regular box frame","local candidate package only; not installed"
"house_l2_1350_b-v2","house_l2","assets/houses/house_l2_1350_b-v2.png","candidate_rework","1350","2","b","2","137","137","70.95813397129186","132.08373205741626","native PNG px; top-left origin","1","1","0.4980801861842801","full canvas at existing scale and pivot; do not reuse old upper alpha crop","{""left"":3,""top"":6,""width"":127,""height"":128}","false","0","none","","","false","13.299634440268713","manual approximate upper-vs-ground wall setback, not logical tile size","{""left"":[256,963],""front"":[759,1192],""right"":[1030,1044]}","{""left"":[24,103],""front"":[86,131],""right"":[118,113]}","1.4210854715202004e-14","2","assets/overlays/boarded_l2_1350-v3.png","assets/overlays/roof_snow_l2_shared-v3.png","0","0","1","e5d5b9e33ab6b6a901382679bcd7d79241301f49b6abbbc84b6eaa21b03932e9","","references/houses/house_l2-v2.png","57c717005bf698a915d2a19c42682a80b48f873c2a9226fc7f6b144a16a0c85e","built-in image_gen edit","provenance/generated/house_l2_1350_b-v2-raw.png","Precise-object-edit: turn attached approved AD1350 L2 house A into facade VARIANT B. Keep EXACT SAME alpha outline, roof shape, height, ground footprint, two-floor count, cantilever geometry, broad dark horizontal window strips and their opening positions. Change ONLY oak carpentry arrangement: paired triangular bracket details, alternate short diagonal braces in a few cream lower infill panels, slightly weathered grey-brown timber and muted tawny wooden shutter resting beside ONE opening without covering the wide dark window band. Preserve large projecting floor bands, protruding joist ends and deep underside shadows. Do not add or remove storeys, chimney, glass, smoke or objects. Same warm understated isometric painterly game style, upper-left lighting. Transparent background. This is the same physical house with modest alternate timber detailing, not a redesign.","Native ground-landmark affine registration; upper-only vertical scale to grade original top; original roof/upper silhouette/window masks NOT restored; no recolor-only shortcut. See registration.json.","strong projecting upper storey, deep underside, joist ends/brackets, broad dark horizontal unglazed windows, regular box frame","local candidate package only; not installed"
