"house","house_file","house_sha256","old_overlay","old_overlay_sha256","old_verdict","old_issue","selected_overlay","selected_overlay_sha256","canvas_match","placement_x","placement_y","selected_verdict","native_visual","zoom03_visual","positive_alpha_pixels","positive_alpha_over_empty_house_pixels","note"
"house_l0_1350_a-v1","assets/houses/house_l0_1350_a-v1.png","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","0","0","compatible","pass","preserved reference compatibility","2792","4","Original overlay retained."
"house_l0_1350_a-v1","assets/houses/house_l0_1350_a-v1.png","3413e1ef9a3c35816ef690b318b8ce322d411b478ee0566a354e3dc64588b04c","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","0","0","compatible","pass","preserved reference compatibility","570","0","Original overlay retained."
"house_l0_1350_b-v1","assets/houses/house_l0_1350_b-v1.png","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","0","0","compatible","pass","preserved reference compatibility","2792","4","Original overlay retained."
"house_l0_1350_b-v1","assets/houses/house_l0_1350_b-v1.png","c64c380ffdde60c5100fb4b3bcf05df04848249fecf1efdb5b7388e79ba5ff5c","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","0","0","compatible","pass","preserved reference compatibility","570","0","Original overlay retained."
"house_l0_1400_a-v1","assets/houses/house_l0_1400_a-v1.png","4f9a46d7da85b2b3385d00fddebddef03549da9d9c88b1f0cb66629e58c9fe00","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","0","0","compatible","pass","preserved reference compatibility","2792","4","Original overlay retained."
"house_l0_1400_a-v1","assets/houses/house_l0_1400_a-v1.png","4f9a46d7da85b2b3385d00fddebddef03549da9d9c88b1f0cb66629e58c9fe00","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","0","0","compatible","pass","preserved reference compatibility","570","0","Original overlay retained."
"house_l0_1400_b-v1","assets/houses/house_l0_1400_b-v1.png","91199690adcbdba30b8926b6aa72b168d2d443d127f6a75f8a6474082b8fe53d","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l0-v2.png","de6abd02053da883f3ee1000d60f57ba14e3f0d1b525272f02adaf186b24dc8c","true","0","0","compatible","pass","preserved reference compatibility","2792","4","Original overlay retained."
"house_l0_1400_b-v1","assets/houses/house_l0_1400_b-v1.png","91199690adcbdba30b8926b6aa72b168d2d443d127f6a75f8a6474082b8fe53d","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l0-v2.png","6d19cdb3d34039321ea09ab844b696a91b4e2265d041ba7ec523b916d48afaaa","true","0","0","compatible","pass","preserved reference compatibility","570","0","Original overlay retained."
"house_l1_1350_a-v1","assets/houses/house_l1_1350_a-v1.png","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","0","0","compatible","pass","preserved reference compatibility","2699","0","Original overlay retained."
"house_l1_1350_a-v1","assets/houses/house_l1_1350_a-v1.png","44aefa87d3b4510552642e9c225cbe52bf1e881d4b1bcb9fc7b4f90b7617c2cf","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","0","0","compatible","pass","preserved reference compatibility","848","4","Original overlay retained."
"house_l1_1350_b-v1","assets/houses/house_l1_1350_b-v1.png","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","0","0","compatible","pass","preserved reference compatibility","2699","0","Original overlay retained."
"house_l1_1350_b-v1","assets/houses/house_l1_1350_b-v1.png","8a33c40412390902c8ade41aceb16e9e702592692fb830aab23ebb0bbb956b00","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","0","0","compatible","pass","preserved reference compatibility","848","4","Original overlay retained."
"house_l1_1400_a-v1","assets/houses/house_l1_1400_a-v1.png","061f88c9b58c400efdc134f0198d02bea0ea6dd3cfd08d3890979bf0924747f8","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","0","0","compatible","pass","preserved reference compatibility","2699","0","Original overlay retained."
"house_l1_1400_a-v1","assets/houses/house_l1_1400_a-v1.png","061f88c9b58c400efdc134f0198d02bea0ea6dd3cfd08d3890979bf0924747f8","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","0","0","compatible","pass","preserved reference compatibility","848","4","Original overlay retained."
"house_l1_1400_b-v1","assets/houses/house_l1_1400_b-v1.png","2dd0f0962bab1ac7efb532ad489dd69a89fc07ee11a854e22065f0f268362354","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/roof_snow_l1-v2.png","812ba0165e63c0494370d4fe37c9635e86b674d8eb07add02f600f39fb92a42e","true","0","0","compatible","pass","preserved reference compatibility","2699","0","Original overlay retained."
"house_l1_1400_b-v1","assets/houses/house_l1_1400_b-v1.png","2dd0f0962bab1ac7efb532ad489dd69a89fc07ee11a854e22065f0f268362354","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","compatible","Preserved L0/L1 body remains unchanged; original overlay matches.","references/overlays/boarded_l1-v2.png","175741dbcf5ebb62b4a9c8db46e9ef1c29e24a4ca005a97211eb33c33fd725e8","true","0","0","compatible","pass","preserved reference compatibility","848","4","Original overlay retained."
"house_l2_1350_a-v2","assets/houses/house_l2_1350_a-v2.png","eae7260cade74a7ccb9b22e20e913f2c4634e6fe132fe2ed13fe2ef2469c0f55","references/overlays/roof_snow_l2-v2.png","af53c4c70620f3de88bd957e65b908467fb1939ce95cc06c1eca42a6bcac4043","partial_fit_not_selected","Some old snow coverage appears plausible, but it hugs changed roof/eave margins; common-interior retarget chosen for reliable shared compatibility.","assets/overlays/roof_snow_l2_shared-v3.png","deb82ed4e57b90cb3d49a7f1ed096ca2fed3c44a5254113f52cb4a281be74d9a","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1613","0","Common roof interior snow patch; reduced coverage intentionally avoids altered edges and chimneys."
"house_l2_1350_a-v2","assets/houses/house_l2_1350_a-v2.png","eae7260cade74a7ccb9b22e20e913f2c4634e6fe132fe2ed13fe2ef2469c0f55","references/overlays/boarded_l2-v2.png","3b3e63fea713e6d5be4f0971b16002512fadd836924d9daf760e4311a21fb5d1","needs_retarget","Original X boards fall on posts or infill and leave new horizontal window-band openings uncovered.","assets/overlays/boarded_l2_1350-v3.png","5746b6d65c42a49794270491cecbbc49e071b5fddfac3d4e8ce489f3be5e2c39","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1938","0","Existing board art components retargeted to openings; clipped to A/B body-alpha intersection. No newly painted artwork."
"house_l2_1350_b-v2","assets/houses/house_l2_1350_b-v2.png","e5d5b9e33ab6b6a901382679bcd7d79241301f49b6abbbc84b6eaa21b03932e9","references/overlays/roof_snow_l2-v2.png","af53c4c70620f3de88bd957e65b908467fb1939ce95cc06c1eca42a6bcac4043","partial_fit_not_selected","Some old snow coverage appears plausible, but it hugs changed roof/eave margins; common-interior retarget chosen for reliable shared compatibility.","assets/overlays/roof_snow_l2_shared-v3.png","deb82ed4e57b90cb3d49a7f1ed096ca2fed3c44a5254113f52cb4a281be74d9a","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1613","0","Common roof interior snow patch; reduced coverage intentionally avoids altered edges and chimneys."
"house_l2_1350_b-v2","assets/houses/house_l2_1350_b-v2.png","e5d5b9e33ab6b6a901382679bcd7d79241301f49b6abbbc84b6eaa21b03932e9","references/overlays/boarded_l2-v2.png","3b3e63fea713e6d5be4f0971b16002512fadd836924d9daf760e4311a21fb5d1","needs_retarget","Original X boards fall on posts or infill and leave new horizontal window-band openings uncovered.","assets/overlays/boarded_l2_1350-v3.png","5746b6d65c42a49794270491cecbbc49e071b5fddfac3d4e8ce489f3be5e2c39","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1938","0","Existing board art components retargeted to openings; clipped to A/B body-alpha intersection. No newly painted artwork."
"house_l2_1400_a-v2","assets/houses/house_l2_1400_a-v2.png","8c4720c8a7eb07679726c80a924282820343dc0ad811df7d50fc705319ed22b6","references/overlays/roof_snow_l2-v2.png","af53c4c70620f3de88bd957e65b908467fb1939ce95cc06c1eca42a6bcac4043","needs_retarget","Old snow silhouette projects outside the narrower new roof slope or across changed ridge/eave positions.","assets/overlays/roof_snow_l2_shared-v3.png","deb82ed4e57b90cb3d49a7f1ed096ca2fed3c44a5254113f52cb4a281be74d9a","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1613","0","Common roof interior snow patch; reduced coverage intentionally avoids altered edges and chimneys."
"house_l2_1400_a-v2","assets/houses/house_l2_1400_a-v2.png","8c4720c8a7eb07679726c80a924282820343dc0ad811df7d50fc705319ed22b6","references/overlays/boarded_l2-v2.png","3b3e63fea713e6d5be4f0971b16002512fadd836924d9daf760e4311a21fb5d1","needs_retarget","Original X positions and height do not follow the new large glazed window groups; lower boards miss relocated opening extents.","assets/overlays/boarded_l2_1400-v3.png","126a09ae77818cb16dbc0879c5bbc4bf0b58f750ed314faeb88df47a7ea03787","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1828","0","Existing board art components retargeted to openings; clipped to A/B body-alpha intersection. No newly painted artwork."
"house_l2_1400_b-v2","assets/houses/house_l2_1400_b-v2.png","21a2a3895a0a87357d35e72c5eb976dcf8e9a1390d1d220018d8872191471f1b","references/overlays/roof_snow_l2-v2.png","af53c4c70620f3de88bd957e65b908467fb1939ce95cc06c1eca42a6bcac4043","needs_retarget","Old snow silhouette projects outside the narrower new roof slope or across changed ridge/eave positions.","assets/overlays/roof_snow_l2_shared-v3.png","deb82ed4e57b90cb3d49a7f1ed096ca2fed3c44a5254113f52cb4a281be74d9a","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1613","0","Common roof interior snow patch; reduced coverage intentionally avoids altered edges and chimneys."
"house_l2_1400_b-v2","assets/houses/house_l2_1400_b-v2.png","21a2a3895a0a87357d35e72c5eb976dcf8e9a1390d1d220018d8872191471f1b","references/overlays/boarded_l2-v2.png","3b3e63fea713e6d5be4f0971b16002512fadd836924d9daf760e4311a21fb5d1","needs_retarget","Original X positions and height do not follow the new large glazed window groups; lower boards miss relocated opening extents.","assets/overlays/boarded_l2_1400-v3.png","126a09ae77818cb16dbc0879c5bbc4bf0b58f750ed314faeb88df47a7ea03787","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1828","0","Existing board art components retargeted to openings; clipped to A/B body-alpha intersection. No newly painted artwork."
"house_l3_1350_a-v2","assets/houses/house_l3_1350_a-v2.png","01eda02bd43199fd9096a493ec7c509b9e67a29dcc80afc4f2334098f5df19f7","references/overlays/roof_snow_l3-v2.png","41c424fda13031e43e85a6b94cba496aaf414ac69b74ccb4a498308aa6f1c2ae","needs_retarget","Old gabled snow layout crosses the altered front-gable/roof-plane boundary.","assets/overlays/roof_snow_l3_shared-v3.png","a2d92dcbc05f6084088c5705c4b63bf8726a294c73b10b6997ad8e25bb234b1f","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","604","0","Common roof interior snow patch; reduced coverage intentionally avoids altered edges and chimneys."
"house_l3_1350_a-v2","assets/houses/house_l3_1350_a-v2.png","01eda02bd43199fd9096a493ec7c509b9e67a29dcc80afc4f2334098f5df19f7","references/overlays/boarded_l3-v2.png","d7510229c8f432347f593e423ca079627f8337216abce85273e66b8104d2977a","needs_retarget","Original X boards fall on posts or infill and leave new horizontal window-band openings uncovered.","assets/overlays/boarded_l3_1350-v3.png","70433fae506ec25fadb70648f2922fc79a7d0ac63e32a7859a426cd07bc314e4","true","0","0","compatible","pass","state visibly different; fine wood grain unresolved","1808","0","Existing board art components retargeted to openings; clipped to A/B body-alpha intersection. No newly painted artwork."
