assetId,column,frame,template,headProtectedThroughY,protectedFootMask,bothLegsProtectedFromY,headPixels,bothLegFootPixels,headRGBAChanges,bothLegFootRGBAChanges,alphaChanges,footDisplacementPx,headDisplacementPx,changedClothingPixels,result
wk_alewife-v1,0,0,actor_civilian_woman-v1.png,20,lower_35_percent,47,226,502,0,0,0,0,0,538,PASS
wk_alewife-v1,1,0,actor_civilian_woman-v1.png,20,lower_35_percent,48,232,439,0,0,0,0,0,578,PASS
wk_alewife-v1,2,0,actor_civilian_woman-v1.png,21,lower_35_percent,48,235,456,0,0,0,0,0,528,PASS
wk_alewife-v1,3,0,actor_civilian_woman-v1.png,20,lower_35_percent,47,229,497,0,0,0,0,0,531,PASS
wk_alewife-v1,0,1,actor_civilian_woman-v1.png,97,lower_35_percent,124,226,444,0,0,0,0,0,530,PASS
wk_alewife-v1,1,1,actor_civilian_woman-v1.png,95,lower_35_percent,123,236,421,0,0,0,0,0,574,PASS
wk_alewife-v1,2,1,actor_civilian_woman-v1.png,95,lower_35_percent,123,224,435,0,0,0,0,0,593,PASS
wk_alewife-v1,3,1,actor_civilian_woman-v1.png,97,lower_35_percent,124,222,469,0,0,0,0,0,527,PASS
wk_maltster-v1,0,0,actor_civilian_man-v1.png,17,lower_35_percent,44,246,348,0,0,0,0,0,604,PASS
wk_maltster-v1,1,0,actor_civilian_man-v1.png,17,lower_35_percent,45,233,349,0,0,0,0,0,610,PASS
wk_maltster-v1,2,0,actor_civilian_man-v1.png,17,lower_35_percent,44,236,341,0,0,0,0,0,578,PASS
wk_maltster-v1,3,0,actor_civilian_man-v1.png,17,lower_35_percent,44,243,347,0,0,0,0,0,599,PASS
wk_maltster-v1,0,1,actor_civilian_man-v1.png,90,lower_35_percent,117,239,339,0,0,0,0,0,589,PASS
wk_maltster-v1,1,1,actor_civilian_man-v1.png,90,lower_35_percent,117,256,359,0,0,0,0,0,611,PASS
wk_maltster-v1,2,1,actor_civilian_man-v1.png,90,lower_35_percent,117,253,338,0,0,0,0,0,615,PASS
wk_maltster-v1,3,1,actor_civilian_man-v1.png,90,lower_35_percent,117,241,363,0,0,0,0,0,593,PASS
wk_shepherd-v1,0,0,actor_civilian_man-v1.png,17,lower_35_percent,44,246,348,0,0,0,0,0,564,PASS
wk_shepherd-v1,1,0,actor_civilian_man-v1.png,17,lower_35_percent,45,233,349,0,0,0,0,0,584,PASS
wk_shepherd-v1,2,0,actor_civilian_man-v1.png,17,lower_35_percent,44,236,341,0,0,0,0,0,548,PASS
wk_shepherd-v1,3,0,actor_civilian_man-v1.png,17,lower_35_percent,44,243,347,0,0,0,0,0,567,PASS
wk_shepherd-v1,0,1,actor_civilian_man-v1.png,90,lower_35_percent,117,239,339,0,0,0,0,0,595,PASS
wk_shepherd-v1,1,1,actor_civilian_man-v1.png,90,lower_35_percent,117,256,359,0,0,0,0,0,615,PASS
wk_shepherd-v1,2,1,actor_civilian_man-v1.png,90,lower_35_percent,117,253,338,0,0,0,0,0,628,PASS
wk_shepherd-v1,3,1,actor_civilian_man-v1.png,90,lower_35_percent,117,241,363,0,0,0,0,0,601,PASS
wk_fuller-v1,0,0,actor_civilian_man-v1.png,17,both_boot_regions,44,246,186,0,0,0,0,0,705,PASS
wk_fuller-v1,1,0,actor_civilian_man-v1.png,17,both_boot_regions,45,233,205,0,0,0,0,0,675,PASS
wk_fuller-v1,2,0,actor_civilian_man-v1.png,17,both_boot_regions,44,236,201,0,0,0,0,0,671,PASS
wk_fuller-v1,3,0,actor_civilian_man-v1.png,17,both_boot_regions,44,243,205,0,0,0,0,0,691,PASS
wk_fuller-v1,0,1,actor_civilian_man-v1.png,90,both_boot_regions,117,239,188,0,0,0,0,0,693,PASS
wk_fuller-v1,1,1,actor_civilian_man-v1.png,90,both_boot_regions,117,256,205,0,0,0,0,0,713,PASS
wk_fuller-v1,2,1,actor_civilian_man-v1.png,90,both_boot_regions,117,253,197,0,0,0,0,0,721,PASS
wk_fuller-v1,3,1,actor_civilian_man-v1.png,90,both_boot_regions,117,241,215,0,0,0,0,0,665,PASS
wk_wool_merchant-v1,0,0,actor_merchant-v1.png,16,lower_35_percent,43,230,377,0,0,0,0,0,568,PASS
wk_wool_merchant-v1,1,0,actor_merchant-v1.png,16,lower_35_percent,44,242,345,0,0,0,0,0,683,PASS
wk_wool_merchant-v1,2,0,actor_merchant-v1.png,16,lower_35_percent,44,241,354,0,0,0,0,0,680,PASS
wk_wool_merchant-v1,3,0,actor_merchant-v1.png,16,lower_35_percent,43,234,367,0,0,0,0,0,595,PASS
wk_wool_merchant-v1,0,1,actor_merchant-v1.png,87,lower_35_percent,114,232,369,0,0,0,0,0,605,PASS
wk_wool_merchant-v1,1,1,actor_merchant-v1.png,87,lower_35_percent,114,238,354,0,0,0,0,0,592,PASS
wk_wool_merchant-v1,2,1,actor_merchant-v1.png,87,lower_35_percent,114,250,357,0,0,0,0,0,636,PASS
wk_wool_merchant-v1,3,1,actor_merchant-v1.png,86,lower_35_percent,113,223,395,0,0,0,0,0,624,PASS
