"assetId","version","runtimePath","runtimeSha256","sourcePath","sourceSha256","tool","model","generatedAt","prompt","referenceInputs","seed","candidates","manualEdits","artBible","historicalProfile","owner","usedIn","status","notes"
"fence/hurdle_gate-v1","v1","assets/fence/hurdle_gate-v1.png","b51749af62f59d82cd4c4d3faf42d95c0a7aa048f7e94320cb0c25c5f7ff1579","sources/fence__hurdle_gate-v1.png","7cca9ec6291e2a6979feee6b139df98f20e4d7bc09fb80d6b001beb5739d1e22","image_gen","not exposed","2026-09-25T02:28:30.558Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE module / hurdle_gate-v1. Reference1 is exact black/white TOPOLOGY stencil, not finalart. Fill WHITE shape with painted old golden-oak CLOSED hinged farm hurdle gate, matching reference2 material and postthickness. BLACK is transparent. Keep same overall128x64 frame and placement, groundpostcenters32,60 and96,28; vector64,-32. The diagonal opening between two posts is a hinged gate leaf with 2 chunkyrails plus diagonalbrace, small dark hinge onleftpost and latch onrightpost. No third post. Match coarse painterly oak reference2, flat broad ochre patches, NO woodgrain hairlines. Gate closed spans exactly existingoneunit straight position, viewedrise26.565degrees towardright. Do not add extra ground/base or shadow. Preserve stencilgeometry, transparentnegative space.","masks/hurdle_gate-v1-topology.png; references/astra-wave4c-reference-files/hurdle_straight-v1.png","not exposed","1","{""id"":""fence/hurdle_gate-v1"",""source"":""sources/fence__hurdle_gate-v1.png"",""sourceSha256"":""7cca9ec6291e2a6979feee6b139df98f20e4d7bc09fb80d6b001beb5739d1e22"",""nativeSize"":[1774,887],""size"":[128,64],""pivot"":[64,44],""ports"":[[32,60],[96,28]],""nativeSamplingAffine"":[12.45,0,1.625,15,181.6,-121],""onePassNativeToTarget"":true,""method"":""4x4 footprint sampling of independently painted native image; exact approved topology alpha; nearest painted edge extrusion only where mask registration crosses source alpha; reference-average RGB normalization to existing straight/north timber; no mirrored art"",""referenceMeanRGB"":[153,116,65],""toneScale"":[1.3864290678050233,1.3214996429091466,1.2618302120871978],""transparentRGBDilation"":3,""bleedPixels"":699,""sha256"":""b51749af62f59d82cd4c4d3faf42d95c0a7aa048f7e94320cb0c25c5f7ff1579"",""target"":""assets/fence/hurdle_gate-v1.png""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"fence/hurdle_half-v1","v1","assets/fence/hurdle_half-v1.png","8b81796572db3ae89666de9336034599745052de4493bf5e6d866d46f04b5f59","sources/fence__hurdle_half-v1.png","cf3a50d3ca38d516e533232bb3a913a0bb9cf1f04f8ba193a16353ea8a62193f","image_gen","not exposed","2026-09-25T02:35:43.829Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE module. Image1 is exactgeometryMASK, WHITEwherewoodexists, BLACKemptytransparent. Image2/3 materialreference only. Coarsegoldenochrewoodbroadbrushplanes, nohairlinegrain, matchingreferencepostthickness. HALF TILE straight. Target64x64. Exactpostgroundcenters(16,56) and(48,40), only32pxrun16pxrise (HALF of existingfullstraight). Two thickshortendposts26pxhigh10pxwide withtwo chunkywoodrails between, no gatebrace/hinges. Preserveblack/whitemaskplacement. Woodpaintfromreference2. Compactlittleopenfence, no extra span.","masks/hurdle_half-v1-topology.png; references/astra-wave4c-reference-files/hurdle_straight-v1.png; references/astra-wave4c-reference-files/hurdle_end_corner-v1.png","not exposed","1","{""id"":""fence/hurdle_half-v1"",""source"":""sources/fence__hurdle_half-v1.png"",""sourceSha256"":""cf3a50d3ca38d516e533232bb3a913a0bb9cf1f04f8ba193a16353ea8a62193f"",""nativeSize"":[1254,1254],""size"":[64,64],""pivot"":[32,48],""ports"":[[16,56],[48,40]],""nativeSamplingAffine"":[16.56,0,-3,11.54,100,352],""onePassNativeToTarget"":true,""method"":""4x4 footprint sampling of independently painted native image; exact approved topology alpha; nearest painted edge extrusion only where mask registration crosses source alpha; reference-average RGB normalization to existing straight/north timber; no mirrored art"",""referenceMeanRGB"":[153,116,65],""toneScale"":[1.5066624267851099,1.4863259613202888,1.5719467956469164],""transparentRGBDilation"":3,""bleedPixels"":490,""sha256"":""8b81796572db3ae89666de9336034599745052de4493bf5e6d866d46f04b5f59"",""target"":""assets/fence/hurdle_half-v1.png""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"fence/hurdle_corner_e-v1","v1","assets/fence/hurdle_corner_e-v1.png","66f0fa08db83db46cb1f4c6cfa218a03283631cc6a403d76d4bed8ad5a398497","sources/fence__hurdle_corner_e-v1.png","cfb24496973f64f37d9481a3e51d3452758f48678ac09e545b5301135440b683","image_gen","not exposed","2026-09-25T02:35:43.849Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE module. Image1 is exactgeometryMASK, WHITEwherewoodexists, BLACKemptytransparent. Image2/3 materialreference only. Coarsegoldenochrewoodbroadbrushplanes, nohairlinegrain, matchingreferencepostthickness. EAST CORNER: shape like a RIGHT-POINTING chevron >. TWO angled woodfence arms converge on single FRONT RIGHT cornerpost at(64,60); farleft ends(0,28) and(0,92). BotharmscontinueexactlytocanvasLEFTedge, allartcontainedinLEFThalf128x96canvas. Right half EMPTY. TopologyreferenceWHITEoccupiedblacktransparent, keep exact silhouette. Upperarm slopes DOWN RIGHT, lowerarm slopes UP RIGHT. Sharedcornerpost facesus atRIGHT,farendsleft. Do NOT paint north-corner roofshape ormirrorreference. Neworiginalpaint withconsistentupperleftlight.","masks/hurdle_corner_e-v1-topology.png; references/astra-wave4c-reference-files/hurdle_straight-v1.png; references/astra-wave4c-reference-files/hurdle_end_corner-v1.png","not exposed","1","{""id"":""fence/hurdle_corner_e-v1"",""source"":""sources/fence__hurdle_corner_e-v1.png"",""sourceSha256"":""cfb24496973f64f37d9481a3e51d3452758f48678ac09e545b5301135440b683"",""nativeSize"":[1448,1086],""size"":[128,96],""pivot"":[64,60],""ports"":[[0,28],[0,92]],""nativeSamplingAffine"":[10.69,0,0.4609,10.328125,0,57.8125],""onePassNativeToTarget"":true,""method"":""4x4 footprint sampling of independently painted native image; exact approved topology alpha; nearest painted edge extrusion only where mask registration crosses source alpha; reference-average RGB normalization to existing straight/north timber; no mirrored art"",""referenceMeanRGB"":[153,116,65],""toneScale"":[1.3443624506607172,1.3081534930640906,1.3286489939316513],""transparentRGBDilation"":3,""bleedPixels"":943,""sha256"":""66f0fa08db83db46cb1f4c6cfa218a03283631cc6a403d76d4bed8ad5a398497"",""target"":""assets/fence/hurdle_corner_e-v1.png""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"fence/hurdle_corner_s-v1","v1","assets/fence/hurdle_corner_s-v1.png","a5ddbf57c020456fe4eb116010896b55def0fc231a696050813cb059e08553c1","sources/fence__hurdle_corner_s-v1.png","26326b33ba484d0923948baa4c9993e0eb66a152c7af47fa71daeee8974f3170","image_gen","not exposed","2026-09-25T02:35:43.876Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE module. Image1 is exactgeometryMASK, WHITEwherewoodexists, BLACKemptytransparent. Image2/3 materialreference only. Coarsegoldenochrewoodbroadbrushplanes, nohairlinegrain, matchingreferencepostthickness. SOUTH CORNER: twoarms make a DOWN-POINTING V like a valley. Groundcorner(64,64), endpoints(0,32) and(128,32). Target128x96. The nearestsharedpost is atlowercentre. Endarms go tobothcanvasleft/rightedges and upward. Vertical26pxposts10pxwide,2broad10pxwoodrailsperarm, exactWHITE-maskplacement. Topologywhiteoccupiedblacktransparent. Newpainting notflippednorthreference; upperleftlight and visibleinner/outerfaces appropriatenearsouthcorner. DO NOT paint upside-down roof ^.","masks/hurdle_corner_s-v1-topology.png; references/astra-wave4c-reference-files/hurdle_straight-v1.png; references/astra-wave4c-reference-files/hurdle_end_corner-v1.png","not exposed","1","{""id"":""fence/hurdle_corner_s-v1"",""source"":""sources/fence__hurdle_corner_s-v1.png"",""sourceSha256"":""26326b33ba484d0923948baa4c9993e0eb66a152c7af47fa71daeee8974f3170"",""nativeSize"":[1448,1086],""size"":[128,96],""pivot"":[64,64],""ports"":[[0,32],[128,32]],""nativeSamplingAffine"":[11.3125,0,0,10.875,0,200],""onePassNativeToTarget"":true,""method"":""4x4 footprint sampling of independently painted native image; exact approved topology alpha; nearest painted edge extrusion only where mask registration crosses source alpha; reference-average RGB normalization to existing straight/north timber; no mirrored art"",""referenceMeanRGB"":[153,116,65],""toneScale"":[1.3552532423749653,1.292710208867839,1.267167132216015],""transparentRGBDilation"":3,""bleedPixels"":1028,""sha256"":""a5ddbf57c020456fe4eb116010896b55def0fc231a696050813cb059e08553c1"",""target"":""assets/fence/hurdle_corner_s-v1.png""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"fence/hurdle_corner_w-v1","v1","assets/fence/hurdle_corner_w-v1.png","e63d8632dfc3315729d548c1a23577c9addab04e080b684c66919c5ee60a1814","sources/fence__hurdle_corner_w-v1.png","07b05d0d6013c572aebb84eb6eaa4d3d19586ae26881c1dfad5bf8fee6950c77","image_gen","not exposed","2026-09-25T02:35:43.816Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE module. Image1 is exactgeometryMASK, WHITEwherewoodexists, BLACKemptytransparent. Image2/3 materialreference only. Coarsegoldenochrewoodbroadbrushplanes, nohairlinegrain, matchingreferencepostthickness. WEST CORNER: shape like a LEFT-POINTING chevron <. TWO angledfencearms join on FRONT LEFT cornerpost at(64,60), farRIGHT ends(128,28) and(128,92). BotharmscontinueexactlytocanvasRIGHTedge, allartcontainedinRIGHT half128x96canvas. Lefthalf EMPTY. Upperarm slopes UP RIGHT, lowerarm slopes DOWN RIGHT. Sharedcornerpost atLEFT. MatchWHITEmaskonlytransparentblack. Neworiginalpainting, NOT mirrorofeast, sameupperleftlighting.","masks/hurdle_corner_w-v1-topology.png; references/astra-wave4c-reference-files/hurdle_straight-v1.png; references/astra-wave4c-reference-files/hurdle_end_corner-v1.png","not exposed","1","{""id"":""fence/hurdle_corner_w-v1"",""source"":""sources/fence__hurdle_corner_w-v1.png"",""sourceSha256"":""07b05d0d6013c572aebb84eb6eaa4d3d19586ae26881c1dfad5bf8fee6950c77"",""nativeSize"":[1448,1086],""size"":[128,96],""pivot"":[64,60],""ports"":[[128,28],[128,92]],""nativeSamplingAffine"":[10.125,0,-0.4453,10.078125,152,88.8],""onePassNativeToTarget"":true,""method"":""4x4 footprint sampling of independently painted native image; exact approved topology alpha; nearest painted edge extrusion only where mask registration crosses source alpha; reference-average RGB normalization to existing straight/north timber; no mirrored art"",""referenceMeanRGB"":[153,116,65],""toneScale"":[1.3462800969288673,1.2829197483928942,1.2290692607118852],""transparentRGBDilation"":3,""bleedPixels"":943,""sha256"":""e63d8632dfc3315729d548c1a23577c9addab04e080b684c66919c5ee60a1814"",""target"":""assets/fence/hurdle_corner_w-v1.png""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"tree/orchard_apple_g-v1","v1","assets/tree/orchard_apple_g-v1.png","588f154a8b0794b6860ee9a404025e6e62e0db430475f9fb103c8749babac20a","sources/tree__orchard_apple_g-v1.png","7433df5679293fabbd6f8aa31f9198de858e00b71b2e6d64cd488acf8ebfc721","image_gen","not exposed","2026-09-25T02:26:36.543Z","Create ONE new transparent RGBA game sprite tree/orchard_apple_g-v1. Reference image is our own existing apple tree, STYLE AND SCALE reference only. New silhouette: mature apple tree leaning distinctly LEFT, trunk base stays centered, asymmetrical low clustered canopy, a few muted russet apples in broad readable clusters. South England 1300–1450, hand-painted city-builder sprite, fixed SW orthographic 2:1 isometric camera, upper-left soft light, restrained olive green, warm weathered brown wood. Match reference painterly broad shapes and small-game readability, NOT photorealism, no tiny leaves or noise. SOURCE contract 256x256, single full tree including root contact within frame; centered trunk ground pivot near (128,244), canopy lobes 18–28 pixels at target256, canopy width200px height180px. Transparent background, genuine alpha. Contact AO ONLY directly at trunk, no cast shadow, no grass/soil base, no text, no border, no multiple views. Render high quality but deliberately simple large brush masses suited to downscale exactly once to256x256. Do not mirror the reference; draw an actual different branching structure.","references/astra-wave4c-reference-files/orchard_apple_c-v1.png","not exposed","1","{""id"":""tree/orchard_apple_g-v1"",""source"":""sources/tree__orchard_apple_g-v1.png"",""sourceSha256"":""7433df5679293fabbd6f8aa31f9198de858e00b71b2e6d64cd488acf8ebfc721"",""nativeSize"":[1254,1254],""size"":[256,256],""sourceCrop"":[39,271,1195,890],""destinationRect"":[11.999999999999986,88.63506395786305,208.6079759217457,155.36493604213695],""singleResize"":true,""pivot"":[128,244],""alphaBounds"":[12,89,209,155],""seam"":null,""transparentRGBDilation"":3,""bleedPixels"":1660,""target"":""assets/tree/orchard_apple_g-v1.png"",""sha256"":""588f154a8b0794b6860ee9a404025e6e62e0db430475f9fb103c8749babac20a""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"tree/orchard_apple_h-v1","v1","assets/tree/orchard_apple_h-v1.png","7c80bba7ede468b1b7a59f452b568c868f918926c5904f9d93b3da556c13b531","sources/tree__orchard_apple_h-v1.png","82ed99e0663f117e8e696c20483b44017ff50b949dbec055f88cc3af5e6d377c","image_gen","not exposed","2026-09-25T02:39:04.530Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE object apple_h. One LOW WIDE ancient apple tree, horizontal spreading flattened canopylikeumbrella, deeply forked thick short trunk with hollowknot, clustered oldgnarledroots centerbottom; canopy only170pxtalland230wideat256canvas. A fewlarge mutedred apples recognizableclusters. Differentnewbranching/silhouette frombothreferences, NOT mirroredcopy. Big roundolivepaintclumps18–28px, noleafnoise. Target256x256 rootground128,244.","references/astra-wave4c-reference-files/orchard_apple_c-v1.png; references/astra-wave4c-reference-files/orchard_apple_d-v1.png","not exposed","1","{""id"":""tree/orchard_apple_h-v1"",""source"":""sources/tree__orchard_apple_h-v1.png"",""sourceSha256"":""82ed99e0663f117e8e696c20483b44017ff50b949dbec055f88cc3af5e6d377c"",""nativeSize"":[1254,1254],""size"":[256,256],""sourceCrop"":[35,379,1178,782],""destinationRect"":[12.196776929601356,90.12044105173877,231.80322307039864,153.87955894826123],""singleResize"":true,""pivot"":[128,244],""alphaBounds"":[12,90,232,154],""seam"":null,""transparentRGBDilation"":3,""bleedPixels"":1689,""target"":""assets/tree/orchard_apple_h-v1.png"",""sha256"":""7c80bba7ede468b1b7a59f452b568c868f918926c5904f9d93b3da556c13b531""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"tree/orchard_pear_i-v1","v1","assets/tree/orchard_pear_i-v1.png","924fa99b8bb3e6d1fb57eaa2d3fbd20da084d8db198b97cc207b8bd88dbc91fb","sources/tree__orchard_pear_i-v1.png","28b6eeab2e9592d6a1deb3ca2d39a210257a828ed3f42cd5dfe4bab71ecb4f30","image_gen","not exposed","2026-09-25T02:39:04.498Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE object pear_i. One YOUNG slim pear tree, slenderstraightcentraltrunkand3clearupwardbranches, airy triangular narrowcanopy withlargeindividualpearshapedfoliagemasses, visiblegapsbetween only6–8canopyclusters. A fewhanging ochregreenpears. Deliberately youthfulnotminiaturescaleoldtree. Target256x256, root128,244, overallheight205px, canopywidth135px. Broadgouacheshapes, sameolivepalette. Newrealvariant notflip.","references/astra-wave4c-reference-files/orchard_pear_e-v1.png","not exposed","1","{""id"":""tree/orchard_pear_i-v1"",""source"":""sources/tree__orchard_pear_i-v1.png"",""sourceSha256"":""28b6eeab2e9592d6a1deb3ca2d39a210257a828ed3f42cd5dfe4bab71ecb4f30"",""nativeSize"":[1254,1254],""size"":[256,256],""sourceCrop"":[341,40,606,1155],""destinationRect"":[70.75324675324676,12,121.72467532467532,232],""singleResize"":true,""pivot"":[128,244],""alphaBounds"":[71,12,121,232],""seam"":null,""transparentRGBDilation"":3,""bleedPixels"":1977,""target"":""assets/tree/orchard_pear_i-v1.png"",""sha256"":""924fa99b8bb3e6d1fb57eaa2d3fbd20da084d8db198b97cc207b8bd88dbc91fb""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"tree/orchard_plum_j-v1","v1","assets/tree/orchard_plum_j-v1.png","7a1b5e5de20682af913489b9239769886dae8021d0f28d141e64e7163513958a","sources/tree__orchard_plum_j-v1.png","9e397dd67111d8b21be6aebfe98488961ee729f8ce6716369edb83c6c0442be6","image_gen","not exposed","2026-09-25T02:38:38.174Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE object plum_j. ONE massive OLD PLUMTREE with thick bent gnarledtrunk, low fork twistingRIGHT, compact dense slightlytallroundedcrown, onehighoffcenterlimb creatingnotchinsilhouette. Distinctfromwideexistingplumreference. Few recognizabledeepmutedpurplefruitclusters amonglarge18–28px darkolivefoliageblobs. Target256x256 root128,244 canopywidth205height180. Groundonlyroots+contactAO, no grass. Actualnewstructure, notmirror.","references/astra-wave4c-reference-files/orchard_plum_f-v1.png","not exposed","1","{""id"":""tree/orchard_plum_j-v1"",""source"":""sources/tree__orchard_plum_j-v1.png"",""sourceSha256"":""9e397dd67111d8b21be6aebfe98488961ee729f8ce6716369edb83c6c0442be6"",""nativeSize"":[1254,1254],""size"":[256,256],""sourceCrop"":[36,143,1204,1005],""destinationRect"":[12,50.98675496688742,231.23178807947022,193.01324503311258],""singleResize"":true,""pivot"":[128,244],""alphaBounds"":[12,51,231,193],""seam"":null,""transparentRGBDilation"":3,""bleedPixels"":2621,""target"":""assets/tree/orchard_plum_j-v1.png"",""sha256"":""7a1b5e5de20682af913489b9239769886dae8021d0f28d141e64e7163513958a""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
"field/ridge_stubble_a-v1","v1","assets/field/ridge_stubble_a-v1.png","ae916a1c3246e4d5adc55a52d850376955642d6830df458263f55dc96a5f960c","sources/field__ridge_stubble_a-v1.png","29f7aab1c30b19575445452e6e1dc287e2a79a866acce52b2d5ae00c07644cc2","image_gen","not exposed","2026-09-25T02:26:17.784Z","Hand-painted small medieval city-builder game sprite, southern England1300–1450. Match attached project art's muted ochre weathered oak and olive-earth palette, broad readable shapes, upper-left soft light. Orthographic fixed SW isometric2:1 floor axes slope±0.5, verticals vertical; no perspective. Genuine transparent RGBA, no cast shadow, contact AO only. No grass/soil platform unless a strip, no text/border/watermark/photoreal noise, no modern machinery. At final small size retain strong silhouettes.
ROLE strip / field/ridge_stubble_a-v1. ONE horizontal harvested grain stubble material ribbon, exact final512x64, X-only seamless, FOUR tile span. Follow reference two large horizontal ridges at same y locations, repeatable across left/right edges; Y-edge alpha fade8px. The crop is CUT OFF: rows of short chunky PALE STRAW flat-ended stalk bases like rhythmic blunt dot clusters rising only a little above broad brown soil furrows. NO standing wheat ears, NO long leaves, NO hay piles. Two longitudinal rows, stalk group motifs8–12px at finalsize, furrows8px, no microtexture. Much paler and shorter than yellow growing reference, moreregular speckled than brown fallow. No focalspot, no vignette. Image verywide8:1 entirewidth with sides continuous; transparent outside top/bottom. Soft upperleft diffuse, NO shadow.","references/astra-wave4c-reference-files/ridge_growing_a-v1.png; references/astra-wave4c-reference-files/ridge_fallow_a-v1.png","not exposed","1","{""id"":""field/ridge_stubble_a-v1"",""source"":""sources/field__ridge_stubble_a-v1.png"",""sourceSha256"":""29f7aab1c30b19575445452e6e1dc287e2a79a866acce52b2d5ae00c07644cc2"",""nativeSize"":[2172,724],""size"":[512,64],""sourceCrop"":[0,245,2172,241],""destinationRect"":[0,0,512,64],""singleResize"":true,""pivot"":[256,32],""alphaBounds"":[0,1,512,62],""seam"":{""method"":""X-edge matched paired crossfade, 24px each edge; no Y repeat"",""alpha"":""exact reference growing alpha, unchanged per pixel""},""transparentRGBDilation"":3,""bleedPixels"":1022,""target"":""assets/field/ridge_stubble_a-v1.png"",""sha256"":""ae916a1c3246e4d5adc55a52d850376955642d6830df458263f55dc96a5f960c""}","AB_2026-09-19_v1","S_England_1300_1450_v1","project candidate","offline proofs only; not installed","candidate","runtimePath is package-relative delivery path, not installed runtime. generatedAt is source-copy filesystem timestamp. Model version/seed unavailable."
