"id","file","status","width","height","frame_layout","pivot_contract","reference_files","generation_tool","model","full_prompt","postprocessing","sha256","raw_generation_sha256","technical_validation","candidate_count","selection_reason"
"decal/puddle_a-v1","assets/decal/puddle_a-v1.png","candidate","96","48","single","canvas coordinates; see README","ridge_fallow_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: Flat shallow irregular isometric field puddle, long low oval, gray-blue reflected overcast sky with muddy brown rim and sparse broken stalks. Variant A one contiguous pool. 96x48 with transparent outside. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","4ea532870f0beda7c12523d2d99c8b2e909eac2307dc899d03d26c05db8525d5","f26ac96d5c6a8b2c545cd47a09459ef286c6aed59c7549d3cb1158b8ada4536a","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"decal/puddle_b-v1","assets/decal/puddle_b-v1.png","candidate","96","48","single","canvas coordinates; see README","ridge_fallow_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: Flat shallow irregular isometric field puddle, asymmetric lobed pool with a small offset satellite puddle, gray muted water, brown mud rim, no glossy bright blue. 96x48 transparent outside. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","ef65e2870a20cb0e41b10fdfe0ec2467cdc211615f3ce539acc19d1367294312","60e5687137d21a5a0a6ed0fc1974f8575c32db85d43783f1460a0271347a88d7","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"decal/soot_ground-v1","assets/decal/soot_ground-v1.png","candidate","128","64","single","canvas coordinates; see README","house_l0-v3.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: An irregular flat isometric patch of black-brown soot and fine ash on ground, feathered translucent perimeter, quiet scattered tiny burnt straw, no raised platform. 128x64. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","1d19df5b19908ca0274a4858af232d9685b5277a23828074d0d754283b2e4f90","cbf69e313b1de75cbfe3c06118d6eabbae6786442caf9a34620fecfeb607db1b","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"decal/weeds_overgrown_a-v1","assets/decal/weeds_overgrown_a-v1.png","candidate","128","64","single","canvas coordinates; see README","ridge_fallow_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: An irregular flat ground decal of neglected dull olive weeds and sparse dry stems, variant A low spreading clumps, isometric 128x64, transparent patchy gaps and edge. No flowers, raised platform, tree, pot or fence. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","f7a0fa6fce0b341d75406e85243ac5bcb4720f370be8f2ee73b3782e808ea401","94d5108cd0b1804276a1daba9fda31188b6357e328c14c070d379ddb0b7fe5c4","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"decal/weeds_overgrown_b-v1","assets/decal/weeds_overgrown_b-v1.png","candidate","128","64","single","canvas coordinates; see README","ridge_fallow_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: An irregular flat ground decal of abandoned plot weeds, variant B taller dry brown nettle stalk clusters mixed with dark dull green scrub, isometric 128x64, transparent gaps and edge. No flowers, tree, platform, pot or fence. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","6ef973be4ba529787d84a415ef4f99da6722f8d6238407aa1f5171a7455a37fb","f2b395b81f14f571a12723bc2ed41a1b854ba0b6962f65281c64c77e338ac709","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/abandoned_l0-v1","assets/event/abandoned_l0-v1.png","candidate","153","153","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l0-v3.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit the attached house L0 in place into THIS house now abandoned. EXACT same building outline, ground footprint, camera, walls, storeys, corners, windows, door and original framing. Small roof holes inside roof envelope reveal rafters, warped faded shutters, grass and weeds hugging wall base. Preserve original recognisable silhouette, especially roof ridge and eaves. NOT a new building or replacement architecture. Restrained muted hand painted isometric medieval city-builder art, original NW lighting. No people, smoke, fire, horror, skulls, writing, new platform or extra surroundings. True transparent RGBA background. One full house sprite, same canvas framing as input.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","ea6c5f9b52dfa4b9247fcf5fd0b9e4a85e89ae3f66512b3cbd0b2575cc1a7f58","5322952a5abf814138a59c260cacee6cc8b1e6ec7bed63ee2267bfb08e03e948","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/abandoned_l1-v1","assets/event/abandoned_l1-v1.png","candidate","139","139","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l1-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit the attached house L1 in place into THIS house now abandoned. EXACT same building outline, ground footprint, camera, walls, storeys, corners, windows, door and original framing. Small roof holes inside roof envelope reveal rafters, warped faded shutters, grass and weeds hugging wall base. Preserve original recognisable silhouette, especially roof ridge and eaves. NOT a new building or replacement architecture. Restrained muted hand painted isometric medieval city-builder art, original NW lighting. No people, smoke, fire, horror, skulls, writing, new platform or extra surroundings. True transparent RGBA background. One full house sprite, same canvas framing as input.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","5a6747aaa8d859a6c4711c3021d9a46b7331e8cb2e05cda5998f6b07c680cc1c","42b70841ed7ecb50355d0277b7594c78e0f15a33acafda1ad934467894e99767","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/abandoned_l2-v1","assets/event/abandoned_l2-v1.png","candidate","137","137","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l2-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit the attached house L2 in place into THIS house now abandoned. EXACT same building outline, ground footprint, camera, walls, storeys, corners, windows, door and original framing. Small roof holes inside roof envelope reveal rafters, warped faded shutters, grass and weeds hugging wall base. Preserve original recognisable silhouette, especially roof ridge and eaves. NOT a new building or replacement architecture. Restrained muted hand painted isometric medieval city-builder art, original NW lighting. No people, smoke, fire, horror, skulls, writing, new platform or extra surroundings. True transparent RGBA background. One full house sprite, same canvas framing as input.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","b33e2e463336bcc52fda00baf2ecd08a583d56676889b57b034a4d2862b0ca7e","984066acf291b6a88a969af2f0c7e6c1c29cfef7bd6798c1a6233fb12708d190","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/burnt_l0-v1","assets/event/burnt_l0-v1.png","candidate","153","153","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l0-v3.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Asset: event/burnt_l0-v1, candidate game sprite. EDIT the attached 153x153 RGBA house sprite in place: same exact canvas, camera, scale, base footprint, pivot, wall and door locations, outer recognizable silhouette. Make this exact house a quietly burnt ruin: charcoal-black exposed roof rafters, partially collapsed straw roof within the existing roof envelope, blackened original walls. Preserve enough roof ridge, corners, doorway and timbers to recognize THIS house. No flames, no smoke, no new ground platform, no gore, no horror, no text. Keep original restrained small hand-painted isometric historical city-builder style and NW light. Truly transparent background. Output one PNG sprite only with exactly the original 153x153 canvas and alignment, no padding change, no enlargement, no contact sheet.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","4564e0262ee00d6c4e479809cd4bf6660b755a8629ef8c19adb70db33c2dd1bb","60754f7916ebd3b8bdfca9005a8289e70665b00ebcaea08f673650bd874b4035","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/burnt_l1-v1","assets/event/burnt_l1-v1.png","candidate","139","139","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l1-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit target: attached house L1. Make THIS EXACT house a burnt ruin game sprite. Preserve its exact original silhouette, camera, canvas proportions, relative position, wall corners, window and door geometry, base footprint and floor count. Charcoal-black structural timber and exposed roof rafters; partially collapsed roof holes INSIDE the existing roof envelope; visible original recognisable ridge and corner beams. Do not make a new house. Restrained hand painted medieval city-builder sprite, original NW light and muted warm brown palette, no flames, smoke, gore, horror or lettering. Truly transparent RGBA background. One full house sprite only, with source canvas framing. No ground base.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","147e0add6a2a14f09f0461686878ef592db6c298f89b5afc2d963f42c4e22ea5","b40e9105f0631ef2ae81c11cad20861810e32746ad6e3e54748bc8667554d8e6","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
