id,width,height,expected_width,expected_height,transparent_pixels,partial_alpha_pixels,opaque_pixels,invisible_rgb_bleed,source_alpha_difference_pixels,x_seam_difference_channels,y_seam_difference_channels,distinct_fx_frames,sha256,pass
"decal/puddle_a-v1","96","48","96","48","2890","1612","106","0","","","","","4ea532870f0beda7c12523d2d99c8b2e909eac2307dc899d03d26c05db8525d5","true"
"decal/puddle_b-v1","96","48","96","48","2369","2124","115","0","","","","","ef65e2870a20cb0e41b10fdfe0ec2467cdc211615f3ce539acc19d1367294312","true"
"decal/soot_ground-v1","128","64","128","64","4663","3438","91","0","","","","","1d19df5b19908ca0274a4858af232d9685b5277a23828074d0d754283b2e4f90","true"
"decal/weeds_overgrown_a-v1","128","64","128","64","4857","3155","180","0","","","","","f7a0fa6fce0b341d75406e85243ac5bcb4720f370be8f2ee73b3782e808ea401","true"
"decal/weeds_overgrown_b-v1","128","64","128","64","4495","3506","191","0","","","","","6ef973be4ba529787d84a415ef4f99da6722f8d6238407aa1f5171a7455a37fb","true"
"event/abandoned_l0-v1","153","153","153","153","16363","6815","231","0","0","","","","ea6c5f9b52dfa4b9247fcf5fd0b9e4a85e89ae3f66512b3cbd0b2575cc1a7f58","true"
"event/abandoned_l1-v1","139","139","139","139","11619","7464","238","0","0","","","","5a6747aaa8d859a6c4711c3021d9a46b7331e8cb2e05cda5998f6b07c680cc1c","true"
"event/abandoned_l2-v1","137","137","137","137","9041","9464","264","0","0","","","","b33e2e463336bcc52fda00baf2ecd08a583d56676889b57b034a4d2862b0ca7e","true"
"event/burnt_l0-v1","153","153","153","153","16363","6815","231","0","0","","","","4564e0262ee00d6c4e479809cd4bf6660b755a8629ef8c19adb70db33c2dd1bb","true"
"event/burnt_l1-v1","139","139","139","139","11619","7464","238","0","0","","","","147e0add6a2a14f09f0461686878ef592db6c298f89b5afc2d963f42c4e22ea5","true"
"event/burnt_l2-v1","137","137","137","137","9041","9464","264","0","0","","","","d588b925e5077d6f7878fe3ebb3139b8316e9e9294a655b3a5a9751d12473ccb","true"
"event/burnt_l3-v1","142","142","142","142","10016","9880","268","0","0","","","","165ed9ceb6a96cc0e171495e9d8a9aec8b520dc72a8eb6abf64e3ac92cc0aefa","true"
"event/burnt_l4-v1","161","161","161","161","14278","11353","290","0","0","","","","8d0963d461dba08d9f99bdff88746dd25e7b7a77d850f4b6c9e65ec001dd3ea0","true"
"event/crowd_manor_gate-v1","192","128","192","128","15390","8236","950","0","","","","","4702bfbc032f2c8d0b7ad94503fe4381704890122a64a699011997cf104939d1","true"
"event/fire_roof_l0-v1","153","153","153","153","19836","3455","118","0","","","","","35d06df281e1c66e87efe1dcf70443150ef50d4ee132278bb6a0282ff999c6b8","true"
"event/fire_roof_l1-v1","139","139","139","139","13689","5423","209","0","","","","","cd67afda19281fbd6df1bba535cbf779c64176541767e3e2c42145c00626873b","true"
"event/fire_roof_l2-v1","137","137","137","137","14782","3863","124","0","","","","","1e70a78c1509d1fd579185a1376c054f0d1d2f7b74099575ed7bd1d669fef065","true"
"event/fire_roof_l3-v1","142","142","142","142","15668","4337","159","0","","","","","fa81c864059b00e2c848e3537ad461b7cf7f80ca6ec8535340159c88d8d79d1d","true"
"event/fire_roof_l4-v1","161","161","161","161","22123","3643","155","0","","","","","c781a944952b7d07e1ca7c844da8cc831eb3faa99f824c7bc51ef5fc43c7ab17","true"
"event/plague_door_mark-v1","32","48","32","48","1363","153","20","0","","","","","8a10a7ab8da2685b10e77df43d1c7979008bb91a67f35eca10fbb2be0f6eea63","true"
"event/plague_shut_l1-v1","139","139","139","139","19050","271","0","0","","","","","56ff9412f3c73312f625063c1067cb5a472b119b1214dfe3ba3adc342f10875d","true"
"event/plague_shut_l2-v1","137","137","137","137","17986","783","0","0","","","","","4df85ecd575b1b3e444ebcd773f85fea4d03f587542130c4071513983b2531d4","true"
"event/plague_shut_l3-v1","142","142","142","142","19339","825","0","0","","","","","726b5eb46378cdff51afa6d884f6980cc5fe06b6da0351637569f185e0d02598","true"
"field/ridge_blighted_a-v1","512","64","512","64","0","0","32768","0","","0","","","8284d5de9636f7614e1737d97c8e70a7d4a12f17cd420d6f4914fcbe94a60086","true"
"field/ridge_blighted_b-v1","512","64","512","64","0","0","32768","0","","0","","","a8330ad4df929f0c8437fc885ef44d55bd89875420e5eafb3e04ab6589a6e1d8","true"
"field/ridge_flooded-v1","512","64","512","64","0","0","32768","0","","0","","","d51c59506546e0919dc13bc0539f07839aef731ad665d167a3270aa6a42f32ba","true"
"fx/black_smoke_column_sheet-v1","384","192","384","192","32712","41016","0","0","","","","4","28d40e5b07d47baf3a859c8c791c155227b7ad1f8dae219c9af0f7ac99eaed30","true"
"fx/rain_streak_sheet-v1","256","128","256","128","29765","3003","0","0","","0","0","4","654dfe210499525bb29a546cdd669d002b757e2e803f5b2eb318cbd20dca03e5","true"
"pile/empty_granary_floor-v1","96","64","96","64","3047","2994","103","0","","","","","6a12e4296f37a270a30d1c95de1018e30a970546ae4b04dde76d31e1cbc62363","true"
"prop/coffin_ne-v1","64","32","64","32","1346","649","53","0","","","","","271709852d97fc24dfd32585950c20653b36873d794a4590c576778d3adc999a","true"
"prop/coffin_nw-v1","64","32","64","32","1364","632","52","0","","","","","d470333c9e55191c6b27db71d7d6da99b04cb96428e57d19a0b73b0e23c82b03","true"
"prop/leaving_child_sheet-v1","296","148","296","148","39586","3597","625","0","","","","","64f9b3061e032bb59fda208b905697fca6d883c1c09490f9b4aaeee5cdb4d929","true"
"prop/scroll_royal_ne-v1","32","32","32","32","653","329","42","0","","","","","2ab40c0fd3b4374e7fb792050722ad5e7c47e02275744df1c50e9d8a86cbf241","true"
"prop/scroll_royal_nw-v1","32","32","32","32","639","343","42","0","","","","","f507f0cb9455eeb9f941b373e2402aa54ec0d965f7a1bf900c319e36739d3199","true"
"signifier/hungry_queue-v1","128","64","128","64","5376","2492","324","0","","","","","d44de38c2b294fbd44a95713a4b55f4eed3779bfbb907a19c958edfb07b6aadf","true"
"wk_funeral_bearers-v1","296","148","296","148","33242","9655","911","0","","","","","8e51b570cd335df31af90ddaff625102d4db57beb31ee04784a17f10c0dcee68","true"
"wk_leaving_family-v1","296","148","296","148","33510","9239","1059","0","","","","","e0ae4333103ae02abe0ded93319c46185df0b38ce530e2d34c75a27cafe551ff","true"
"wk_petitioner_f-v1","296","148","296","148","33550","9250","1008","0","","","","","325514dadac14471fa16a2a4eebbab2041678be3a5bb9ac855ed1ef424c38477","true"
"wk_petitioner_m-v1","296","148","296","148","32947","9870","991","0","","","","","41b4e57950acd801dc61881f7893d2d017de3bfed6e6d04b17da8b1a04e3394a","true"
"wk_royal_messenger-v1","296","148","296","148","32228","10579","1001","0","","","","","99a6964de58e1c18f57fb2c2c4a0db6677866deb201534d3079c5863a32d7909","true"
