asset,column,frame_row,template,foot_y_reference,foot_y_candidate,foot_delta_px,head_y_reference,head_y_candidate,head_delta_px,alpha_diff_pixels,source_alpha_removed_pixels,head_rgba_diff,foot_rgba_diff,pass
wk_funeral_bearers-v1,0,0,template_man_74x74.png,67,67,0,3,3,0,0,0,0,0,true
wk_funeral_bearers-v1,1,0,template_man_74x74.png,68,68,0,3,3,0,0,0,0,0,true
wk_funeral_bearers-v1,2,0,template_man_74x74.png,68,68,0,3,3,0,0,0,0,0,true
wk_funeral_bearers-v1,3,0,template_man_74x74.png,68,68,0,3,3,0,0,0,0,0,true
wk_funeral_bearers-v1,0,1,template_man_74x74.png,141,141,0,76,76,0,0,0,0,0,true
wk_funeral_bearers-v1,1,1,template_man_74x74.png,142,142,0,76,76,0,0,0,0,0,true
wk_funeral_bearers-v1,2,1,template_man_74x74.png,141,141,0,77,77,0,0,0,0,0,true
wk_funeral_bearers-v1,3,1,template_man_74x74.png,141,141,0,77,77,0,0,0,0,0,true
wk_leaving_family-v1,0,0,template_woman_74x74.png,66,66,0,5,5,0,95,0,0,0,true
wk_leaving_family-v1,1,0,template_woman_74x74.png,67,67,0,5,5,0,93,0,0,0,true
wk_leaving_family-v1,2,0,template_woman_74x74.png,67,67,0,6,6,0,116,0,0,0,true
wk_leaving_family-v1,3,0,template_woman_74x74.png,66,66,0,5,5,0,122,0,0,0,true
wk_leaving_family-v1,0,1,template_woman_74x74.png,139,139,0,78,78,0,101,0,0,0,true
wk_leaving_family-v1,1,1,template_woman_74x74.png,138,138,0,77,77,0,92,0,0,0,true
wk_leaving_family-v1,2,1,template_woman_74x74.png,138,138,0,77,77,0,123,0,0,0,true
wk_leaving_family-v1,3,1,template_woman_74x74.png,139,139,0,78,78,0,121,0,0,0,true
wk_petitioner_m-v1,0,0,template_man_74x74.png,67,67,0,3,3,0,55,0,0,0,true
wk_petitioner_m-v1,1,0,template_man_74x74.png,68,68,0,3,3,0,55,0,0,0,true
wk_petitioner_m-v1,2,0,template_man_74x74.png,68,68,0,3,3,0,54,0,0,0,true
wk_petitioner_m-v1,3,0,template_man_74x74.png,68,68,0,3,3,0,55,0,0,0,true
wk_petitioner_m-v1,0,1,template_man_74x74.png,141,141,0,76,76,0,55,0,0,0,true
wk_petitioner_m-v1,1,1,template_man_74x74.png,142,142,0,76,76,0,55,0,0,0,true
wk_petitioner_m-v1,2,1,template_man_74x74.png,141,141,0,77,77,0,54,0,0,0,true
wk_petitioner_m-v1,3,1,template_man_74x74.png,141,141,0,77,77,0,55,0,0,0,true
wk_petitioner_f-v1,0,0,template_woman_74x74.png,66,66,0,5,5,0,50,0,0,0,true
wk_petitioner_f-v1,1,0,template_woman_74x74.png,67,67,0,5,5,0,55,0,0,0,true
wk_petitioner_f-v1,2,0,template_woman_74x74.png,67,67,0,6,6,0,54,0,0,0,true
wk_petitioner_f-v1,3,0,template_woman_74x74.png,66,66,0,5,5,0,43,0,0,0,true
wk_petitioner_f-v1,0,1,template_woman_74x74.png,139,139,0,78,78,0,55,0,0,0,true
wk_petitioner_f-v1,1,1,template_woman_74x74.png,138,138,0,77,77,0,55,0,0,0,true
wk_petitioner_f-v1,2,1,template_woman_74x74.png,138,138,0,77,77,0,54,0,0,0,true
wk_petitioner_f-v1,3,1,template_woman_74x74.png,139,139,0,78,78,0,43,0,0,0,true
wk_royal_messenger-v1,0,0,template_merchant_74x74.png,69,69,0,2,2,0,0,0,0,0,true
wk_royal_messenger-v1,1,0,template_merchant_74x74.png,70,70,0,2,2,0,0,0,0,0,true
wk_royal_messenger-v1,2,0,template_merchant_74x74.png,70,70,0,2,2,0,0,0,0,0,true
wk_royal_messenger-v1,3,0,template_merchant_74x74.png,69,69,0,1,1,0,0,0,0,0,true
wk_royal_messenger-v1,0,1,template_merchant_74x74.png,143,143,0,76,76,0,0,0,0,0,true
wk_royal_messenger-v1,1,1,template_merchant_74x74.png,143,143,0,76,76,0,0,0,0,0,true
wk_royal_messenger-v1,2,1,template_merchant_74x74.png,143,143,0,76,76,0,0,0,0,0,true
wk_royal_messenger-v1,3,1,template_merchant_74x74.png,142,142,0,75,75,0,0,0,0,0,true
